NUMBER_OF_LINES,NUM_UNIQUE_OPERATORS,LOC_BLANK,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,PARAMETER_COUNT,HALSTEAD_PROG_TIME,CYCLOMATIC_DENSITY,LOC_CODE_AND_COMMENT,CALL_PAIRS,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,NUM_OPERANDS,PERCENT_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NODE_COUNT,DESIGN_DENSITY,HALSTEAD_VOLUME,HALSTEAD_EFFORT,Defective
57,17,16,15,14,0,599.7,0.2,0,3,21.4,22.5,37,37.5,25,25,13,0.8,480.6,10795.4,N
390,38,82,100,143,5,10788.6,0.1,6,12,140.3,37.2,280,37.6,176,182,96,0.7,5219.9,194194.6,N
95,20,22,31,33,6,676.9,0.1,9,4,45.5,16.4,54,55.6,32,41,17,0.8,744.6,12184.9,N
40,16,9,12,21,1,208.4,0.1,0,5,35.5,10.3,27,40,18,18,10,1,364.7,3750.8,N
34,16,12,4,11,0,167.9,0.2,3,1,15.8,13.8,19,33.3,14,17,9,0.7,218.7,3022.4,N
95,24,14,21,31,2,826.8,0.1,4,4,39.7,19.4,50,46.3,29,33,14,0.8,768.9,14882.3,N
218,32,38,70,58,2,5551.7,0.2,5,4,58.4,41.4,150,41.9,104,109,51,0.4,2415,99929.8,N
177,24,39,58,42,5,1363.5,0.2,4,10,52.1,21.7,76,47.7,68,72,39,0.6,1130.3,24543.7,N
84,19,19,16,25,0,563.4,0.2,4,3,31.8,17.9,47,48.8,21,25,14,1,567.8,10140.6,N
142,26,25,39,64,6,2429,0.1,6,7,90.9,21.9,108,38.8,71,77,40,0.9,1993,43721.4,Y
70,12,27,19,21,1,492.9,0.1,1,2,37.3,15.4,54,47.6,22,23,7,1,575.1,8872.4,Y
12,8,1,0,4,0,29.3,0.2,0,1,10.8,7,7,0,10,10,6,1,75.3,527,N
132,26,34,26,61,5,3548.1,0.1,5,9,76,29,136,32,66,71,37,0.8,2203.5,63865,N
49,17,9,17,21,2,307.3,0.2,0,1,35.1,12.6,31,43.6,22,22,10,0.6,440.8,5531.3,Y
138,26,32,23,74,9,2851.4,0.1,16,13,104.8,22.1,126,39.8,59,75,33,1,2318.7,51324.9,Y
49,13,13,7,18,0,198.6,0.1,9,2,37.6,9.8,27,45.7,19,28,9,1,366.6,3574.5,N
23,11,3,0,13,2,153.6,0.1,0,2,24.7,10.6,25,0,19,19,8,0.5,261.3,2764.2,N
24,9,6,6,5,1,26.3,0.2,1,1,16.2,5.4,6,41.2,10,11,6,0.5,87.6,472.9,N
19,11,3,0,8,2,95.4,0.1,0,0,18.5,9.6,14,0,15,15,6,0.5,178.4,1717.2,N
186,34,30,62,55,3,6884.1,0.3,4,19,54.7,47.6,154,42.6,89,93,33,0.8,2603.2,123914.5,Y
36,13,6,15,8,3,100.5,0.1,4,3,16.2,10.6,13,65.5,10,14,8,1,171.3,1809.4,N
73,19,13,24,22,1,668.7,0.1,3,3,34.9,18.6,43,45.8,32,35,14,1,648.3,12037.1,Y
141,32,31,28,54,1,4643.4,0.1,7,5,61.9,36.7,124,32.1,74,81,37,0.8,2274.9,83581.4,Y
74,24,12,16,33,3,931.4,0.1,1,5,46.9,18.9,52,27.9,44,45,26,1,886.6,16764.8,N
16,11,0,0,16,2,112.6,0.1,0,0,42.9,6.9,20,0,15,15,6,0.5,294.8,2026.8,N
241,37,51,73,55,1,12140.3,0.2,9,10,51.9,64.9,193,43.4,107,116,59,0.6,3366.2,218524.9,Y
17,5,2,0,6,2,7.2,0.1,2,1,20.8,2.5,6,14.3,12,14,6,1,51.9,129.7,N
26,5,4,0,9,2,14.7,0.1,4,1,34.3,2.8,10,19.1,17,21,9,1,95.2,264.4,N
18,9,0,0,4,2,60.4,0.2,0,0,10.6,10.1,9,0,17,17,12,0.3,107.3,1086.5,N
19,14,3,0,5,2,392.5,0.4,0,0,7.5,30.8,22,0,15,15,14,0.2,229.4,7065.2,N
18,9,3,0,5,2,53.3,0.1,0,0,11.9,9,10,0,14,14,5,0.5,106.6,959.5,N
13,8,2,0,3,1,24.6,0.2,0,0,6.9,8,6,0,10,10,5,0.5,55.4,442.8,N
117,22,25,15,55,1,3176.5,0.2,6,6,80.8,26.6,133,23.1,70,76,48,0.7,2149.5,57176.9,N
35,16,5,2,15,2,374.3,0.2,3,3,26.3,16,30,17.2,24,27,15,1,421.1,6737.7,N
44,14,15,9,17,1,528.6,0.2,7,1,29,18.1,44,57.1,12,19,9,0.7,525.1,9514.4,N
20,12,6,2,8,1,139.4,0.2,2,0,13.8,13.5,18,30.8,9,11,5,0.5,185.8,2508.9,N
19,13,5,2,8,2,220.7,0.2,2,0,13.6,17.1,21,30.8,9,11,5,0.5,232.8,3972,N
36,14,10,2,12,4,315.6,0.3,15,0,21.3,16.3,28,68,8,23,18,0.1,347.8,5681.3,N
44,14,14,9,18,1,202.2,0.2,1,4,35.6,10.1,26,34.5,19,20,12,1,360,3640,N
157,32,35,17,94,5,6906.3,0.2,28,9,108.4,33.9,199,37.2,76,104,54,0.7,3670.1,124313.2,N
24,12,6,2,9,0,111.9,0.2,7,1,17.7,10.7,16,52.9,8,15,10,0.7,188.9,2014.6,N
72,23,17,19,25,0,1021.2,0.1,8,4,42.9,20.7,45,50,27,35,20,0.8,888,18381.8,N
54,19,16,7,28,1,1910.2,0.1,10,1,37.7,30.2,89,46,20,30,10,0.7,1138.7,34384.4,N
58,20,11,5,37,1,3030,0.2,14,1,48.6,33.5,124,41.3,27,41,22,0.3,1627.4,54539.1,N
750,72,81,165,227,3,117204.4,0.2,80,8,131.7,126.6,798,36.7,423,503,251,0.7,16670.1,2109679.5,N
35,7,20,2,8,1,34.6,0.3,2,2,19.2,5.7,13,28.6,10,12,10,0.8,109.4,622.2,N
212,24,115,12,68,1,4491.3,0.2,35,3,83.8,31.1,176,49,49,84,53,0.2,2602.9,80843.1,N
330,32,156,27,83,1,11529.2,0.2,53,5,78.3,51.5,267,48.5,85,138,99,0.3,4032,207526.2,N
307,31,48,32,172,3,19758.2,0.1,61,11,204.3,41.7,463,36.1,165,226,134,0.8,8523.9,355647.9,N
93,18,17,8,45,3,1445,0.2,6,5,87.9,17.2,86,18.7,61,67,35,0.9,1512.3,26010.7,N
186,29,74,18,77,3,6958.4,0.1,30,10,85.7,38.2,203,43.2,63,93,54,0.8,3276.5,125251.6,N
62,18,33,4,19,3,359.7,0.1,8,4,28.2,15.2,32,42.9,16,24,13,1,427.2,6475.1,N
27,16,4,0,28,2,743.2,0.2,3,1,40,18.3,64,13.6,19,22,23,1,731.6,13377.2,N
33,16,4,0,30,2,1325.5,0.2,3,1,42.4,23.7,89,10.7,25,28,34,1,1005.3,23858.8,N
38,10,1,0,47,1,625.5,0.1,1,1,110.2,10.1,95,2.8,35,36,29,1,1114.1,11259.3,N
33,21,5,0,25,1,618.6,0.2,2,1,27.4,20.2,48,7.4,25,27,21,0.8,552.4,11135.5,N
34,11,2,0,38,1,802.1,0.2,1,2,78,13.6,94,3.2,30,31,38,1,1061.2,14437.6,N
20,8,1,0,22,1,260.4,0.1,1,1,54.5,9.3,51,5.6,17,18,16,1,505.4,4686.5,N
18,14,1,0,15,1,194,0.3,1,1,20.5,13.1,28,6.3,15,16,18,1,267.2,3491.3,N
52,26,1,0,32,1,925,0.3,1,1,35.9,21.5,53,2,49,50,25,1,773.3,16649.1,N
55,27,1,0,34,1,1077.5,0.3,1,1,36.6,23,58,1.9,52,53,27,1,842.2,19394.6,N
48,10,4,0,64,1,921.5,0.2,1,2,160.8,10.2,130,2.3,42,43,42,1,1633.1,16586,N
92,19,16,8,46,3,1666.3,0.2,5,5,84.9,18.8,91,17.3,62,67,37,0.8,1595.9,29993,N
155,31,40,19,80,3,8082.1,0.1,30,10,83.8,41.7,215,43,65,95,58,0.8,3492.3,145477.4,N
201,31,77,15,83,3,6362,0.2,25,9,88.2,36,193,34.8,75,100,72,0.7,3177.3,114516.6,N
19,15,4,0,12,0,204.7,0.1,4,1,23.6,12.5,20,28.6,10,14,6,0.5,294.8,3685,N
19,11,4,6,7,0,39.3,0.3,2,1,17.9,6.3,8,57.1,6,8,5,1,112.6,707.7,N
19,11,4,6,7,0,39.3,0.3,2,1,17.9,6.3,8,57.1,6,8,5,1,112.6,707.7,N
30,13,7,7,11,1,108.4,0.1,0,1,17.2,10.6,18,31.8,15,15,7,0.5,183.4,1950.7,N
20,12,3,5,9,1,95.2,0.2,2,1,17.1,10,15,43.8,9,11,7,0.5,171.3,1713,N
103,29,27,33,30,3,1211.2,0.2,4,4,32,26.1,54,49.3,38,42,17,0.4,835.3,21802.3,N
25,16,6,2,10,2,271.2,0.4,2,0,15.8,17.6,22,22.2,14,16,14,0.2,277.3,4880.9,N
89,26,20,14,28,2,1336,0.2,7,2,31,27.9,60,30.9,47,54,33,0.2,863.2,24047.2,N
17,11,4,1,9,2,42.6,0.2,0,0,20.5,6.1,10,8.3,11,11,5,0.5,125.3,765.9,N
19,11,5,2,9,2,41.1,0.2,0,0,19.8,6.1,10,15.4,11,11,5,0.5,121,739.5,N
18,14,3,2,8,1,76.3,0.2,1,1,14.8,9.6,11,21.4,11,12,6,0.5,142.7,1373.5,N
39,15,7,7,20,1,287.2,0.2,3,1,46.9,10.5,28,32.3,21,24,12,1,492.4,5170.3,N
56,15,12,22,21,2,235.4,0.1,2,3,45.6,9.6,27,55.8,19,21,11,0.3,439.4,4237.5,Y
37,15,7,5,20,1,287.2,0.2,1,1,46.9,10.5,28,20.7,23,24,12,1,492.4,5170.3,N
70,14,14,34,17,2,156.4,0.1,3,1,31.4,9.5,23,67.3,18,21,10,1,297.3,2815.2,Y
47,19,10,11,24,2,270.6,0.1,3,2,39.7,11.1,28,38.9,22,25,9,1,439.5,4871.4,Y
50,18,8,19,18,1,193,0.1,2,2,31.5,10.5,21,51.2,20,22,9,1,330.9,3474.2,Y
16,11,0,0,9,2,66.9,0.2,2,2,22.4,7.3,12,13.3,13,15,11,1,164.2,1204.4,Y
14,13,0,0,17,1,97,0.2,0,2,33.1,7.3,19,0,13,13,9,1,240.4,1746.7,N
22,17,0,0,21,1,229.4,0.1,0,2,34.6,10.9,27,0,21,21,11,1,377.9,4129.4,N
88,20,10,31,49,1,704.8,0.2,2,6,74.4,13.1,64,42.9,44,46,26,0.9,971.3,12685.8,Y
118,22,4,18,112,2,4967.4,0.2,4,5,195.1,21.4,218,19.5,91,95,64,0.9,4176.1,89412.4,Y
22,17,0,0,22,1,220.6,0.1,0,2,36.5,10.4,27,0,21,21,11,1,380.6,3969.8,N
23,17,0,0,26,1,376.7,0.2,0,3,41.7,12.8,39,0,22,22,13,0.8,531.8,6780.1,N
54,19,2,9,43,4,915.6,0.2,1,2,75.2,14.8,67,19.6,41,42,18,0.8,1113.4,16481.4,N
65,23,2,13,46,1,2432.6,0.1,2,2,55.9,28,112,24.2,47,49,13,1,1563.8,43785.9,Y
28,16,5,0,13,0,255.1,0.2,0,1,21.1,14.8,24,0,22,22,10,0.5,310.9,4591.9,N
37,22,4,7,23,1,624.5,0.2,1,2,30.7,19.1,40,25,24,25,12,0.8,587.6,11241.6,Y
186,32,35,59,68,3,7838,0.1,9,9,70.6,44.7,190,45.3,82,91,55,0.9,3155.8,141084.2,Y
28,13,4,12,13,1,54.3,0.2,1,2,23.1,6.5,13,56.5,10,11,7,0.5,150.4,977.7,Y
38,20,0,7,22,1,467.1,0.2,2,3,33.2,15.9,35,24.3,28,30,16,0.8,528.5,8407.1,Y
49,16,14,1,13,2,482.5,0.2,5,2,18.7,21.5,35,17.7,28,33,18,1,403.2,8684.6,N
16,9,5,0,4,1,26.4,0.2,0,1,10.4,6.8,6,0,10,10,7,1,70.3,474.6,N
63,13,12,0,29,2,456.6,0.2,0,2,65.4,11.2,50,0,50,50,39,0.9,733.4,8218.6,N
39,20,8,0,23,2,726.9,0.3,1,6,31.3,20.4,47,3.3,29,30,32,0.8,640.3,13084.4,N
63,13,12,0,32,2,427.6,0.2,0,2,74.6,10.2,50,0,50,50,39,0.9,757.9,7697.2,N
32,9,7,0,23,2,162.9,0.1,2,1,56,7.2,37,8.3,22,24,9,0.7,405,2931.9,N
29,13,5,3,14,1,213.7,0.3,2,3,26.4,12.1,26,21.7,18,20,17,0.8,318.6,3845.7,N
16,12,3,0,7,2,121.8,0.3,0,1,15.2,12,14,0,12,12,9,0.7,182.7,2191.9,N
68,33,17,8,45,5,3024,0.3,1,4,42.2,35.9,98,18,41,42,34,0.5,1514.8,54431.2,N
81,26,16,5,77,4,5237.7,0.1,0,6,95.6,31.4,186,7.8,59,59,26,0.9,3002.2,94278.1,N
58,19,11,4,41,1,1271.3,0.1,0,6,66.6,18.5,80,8.7,42,42,21,1,1234.5,22884.2,N
11,7,1,0,4,2,10.1,0.2,0,0,14.8,3.5,4,0,9,9,5,0.5,51.9,181.6,N
67,29,10,16,26,5,2154,0.2,1,6,29.5,36.3,65,30.4,39,40,24,0.7,1069.6,38771.2,N
