DECISION_DENSITY,PERCENT_COMMENTS,MAINTENANCE_SEVERITY,DESIGN_DENSITY,LOC_CODE_AND_COMMENT,NUM_UNIQUE_OPERATORS,HALSTEAD_LEVEL,NUMBER_OF_LINES,LOC_TOTAL,LOC_BLANK,HALSTEAD_DIFFICULTY,CALL_PAIRS,PARAMETER_COUNT,LOC_EXECUTABLE,ESSENTIAL_DENSITY,LOC_COMMENTS,MODIFIED_CONDITION_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,Defective
2.2,24.1,0.4,0.5,10,21,0,99,70,18,36.9,12,0,60,0.3,9,7,26,13,12,Y
2,34.2,0.2,0.4,5,17,0.1,58,30,18,21.3,2,0,25,0,8,4,16,8,8,Y
0,33.3,1,1,0,6,0.2,23,8,9,4.4,4,0,8,0,4,0,0,0,0,N
2,42.4,0.3,0.5,8,16,0.1,50,27,15,15.2,5,0,19,0,6,3,12,6,6,Y
2,30.8,0.5,0.5,3,7,0.1,19,12,3,7,0,0,9,0,1,1,4,2,2,Y
2.5,32.1,0.8,0.5,3,16,0.1,42,22,11,18.9,1,0,19,0.7,6,3,10,5,4,Y
2,0,0.5,0.5,0,8,0.1,19,13,3,8.8,0,0,13,0,0,1,4,2,2,N
0,25,1,1,1,4,0.4,10,4,3,2.7,0,0,3,0,0,0,0,0,0,Y
0,25,1,1,1,4,0.5,10,4,3,2,0,0,3,0,0,0,0,0,0,Y
0,25,1,1,1,4,0.4,9,4,2,2.7,0,0,3,0,0,0,0,0,0,Y
2,0,0.5,0.5,0,8,0.1,19,13,3,8.8,0,0,13,0,0,1,4,2,2,N
2,16.7,0.3,0.7,3,11,0,59,43,8,28.5,2,0,40,0,5,2,8,4,4,Y
0,0,1,1,0,4,0.5,11,8,1,2,6,0,8,0,0,0,0,0,0,N
2,69.7,0.3,0.3,15,14,0,46,25,11,25.3,0,0,10,0,8,3,12,6,6,Y
2,0,0.5,0.5,0,8,0.1,11,7,2,7.2,0,0,7,0,0,1,4,2,2,N
0,0,1,1,0,6,0.2,13,6,5,6.6,0,0,6,0,0,0,0,0,0,N
2,0,0.5,0.5,0,8,0.1,12,7,3,7.2,0,0,7,0,0,1,4,2,2,N
2,0,0.5,0.5,0,8,0.1,12,7,3,7.2,0,0,7,0,0,1,4,2,2,N
2,0,0.5,0.5,0,8,0.1,10,7,1,7.2,0,0,7,0,0,1,4,2,2,N
2,0,0.5,1,0,6,0.3,11,6,3,3,1,0,6,0,0,1,4,2,2,N
0,0,1,1,0,7,0.2,18,9,5,5.3,2,3,9,0,0,0,0,0,0,N
0,0,1,1,0,4,0.5,10,4,4,2,2,1,4,0,0,0,0,0,0,N
2,33.3,0.3,1,5,10,0.1,65,33,21,8,13,0,28,0,9,3,12,6,6,Y
2,26.2,0.5,1,0,12,0.1,67,31,23,11.2,9,1,31,0,11,1,4,2,2,Y
2.2,16.1,0.5,0.8,9,19,0,115,82,25,31.9,14,2,73,0.4,5,7,26,13,12,Y
2,32,0.1,0.2,15,21,0,97,68,12,65.3,2,5,53,0,10,10,40,20,20,Y
2,22.7,0.3,1,2,18,0,83,53,12,33.5,3,4,51,0,13,2,8,4,4,Y
0,33.3,1,1,0,5,0.3,18,6,7,3,3,0,6,0,3,0,0,0,0,N
2,0,0.5,0.5,0,9,0.1,13,8,3,9.9,0,0,8,0,0,1,4,2,2,N
2,12.5,0.5,1,0,7,0.2,13,7,3,6.1,1,0,7,0,1,1,4,2,2,N
2,38.2,0.5,1,3,12,0.1,47,24,11,19.5,3,1,21,0,10,1,4,2,2,Y
0,33.3,1,1,0,10,0.1,26,10,9,11.1,3,1,10,0,5,0,0,0,0,N
0,0,1,1,0,10,0.1,10,6,2,9,0,1,6,0,0,0,0,0,0,N
2.3,42.3,0.3,0.3,25,21,0,137,89,24,43.6,6,0,64,0.2,22,15,54,27,24,Y
0,33.3,1,1,1,6,0.1,10,5,2,7.5,0,0,4,0,1,0,0,0,0,Y
2,0,0.5,0.5,0,9,0.2,11,6,3,6.8,1,0,6,0,0,1,4,2,2,N
2.2,36.2,0.1,0.8,18,22,0,84,62,13,29.5,7,0,44,0,7,7,26,13,12,Y
0,19.1,1,1,0,8,0.1,34,17,11,16,1,0,17,0,4,0,0,0,0,N
2.2,64.5,0.7,0.6,40,20,0,93,67,15,40.4,2,0,27,0.7,9,6,22,11,10,Y
2,42.9,0.5,1,10,11,0.1,46,30,9,17.2,3,0,20,0,5,1,4,2,2,Y
2,20,0.5,0.5,1,10,0.1,38,21,11,19.2,1,0,20,0,4,1,4,2,2,N
2,16,0.5,0.5,0,10,0.1,38,21,11,19.2,1,0,21,0,4,1,4,2,2,N
0,21.1,1,1,1,8,0.1,30,16,9,16.9,1,0,15,0,3,0,0,0,0,N
2,62.3,0.3,0.8,25,11,0.1,67,45,12,16.8,4,0,20,0,8,3,12,6,6,Y
2.3,30.9,0.6,0.6,9,17,0,74,47,17,39.3,3,0,38,0.5,8,4,14,7,6,Y
2,27.1,0.2,1,3,16,0,59,38,9,29.7,3,1,35,0,10,5,20,10,10,Y
2,49.5,0.1,0.8,38,19,0,128,89,22,30.8,9,4,51,0,12,10,40,20,20,Y
2,43.8,0.3,0.7,4,14,0.1,54,22,20,11,11,0,18,0,10,2,8,4,4,Y
2.4,24.1,0.1,0.5,4,23,0,72,45,16,43.8,6,1,41,0,9,7,24,12,10,Y
2.1,49.2,0.2,0.3,45,24,0,164,110,32,43.3,9,3,65,0.1,18,14,54,27,26,N
2,26.1,0.3,0.7,0,12,0.1,38,17,13,13.3,3,0,17,0,6,2,8,4,4,N
2,29,0.3,1,3,12,0.1,43,25,10,16.5,4,0,22,0,6,2,8,4,4,Y
2,21.3,0.3,0.7,1,18,0,58,38,9,28.5,4,0,37,0,9,2,8,4,4,Y
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2,0,0.5,0.5,0,6,0.2,8,5,1,6,0,1,5,0,0,1,4,2,2,N
2,0,0.3,0.3,0,10,0.1,9,5,2,9.2,0,0,5,0,0,2,8,4,4,N
2,54.6,0.5,0.5,0,9,0.1,17,5,4,10.8,0,0,5,0,6,1,4,2,2,N
0,0,1,1,0,4,0.5,5,2,1,2,0,1,2,0,0,0,0,0,0,N
0,46.2,1,1,0,7,0.2,26,7,11,5,4,0,7,0,6,0,0,0,0,N
3.7,28.3,0.8,0.2,11,18,0,57,44,9,36.6,1,0,33,0.8,2,8,22,11,6,Y
2,11.8,0.5,1,1,8,0.2,23,16,4,6,2,0,15,0,1,1,4,2,2,Y
0,53.3,1,1,3,6,0.2,29,10,12,5.4,5,0,7,0,5,0,0,0,0,Y
2,27.8,0.1,0.6,3,21,0,70,42,14,28.4,3,1,39,0,12,6,24,12,12,Y
0,33.3,1,1,0,4,0.5,13,4,5,2,2,0,4,0,2,0,0,0,0,N
0,50,1,1,1,4,0.5,20,6,8,2,4,0,5,0,4,0,0,0,0,Y
2,15.4,0.5,1,0,11,0.1,19,11,4,11,2,0,11,0,2,1,4,2,2,N
2,15.8,0.3,1,1,12,0.1,25,17,4,16.5,2,0,16,0,2,2,8,4,4,N
2,33.3,0.5,1,3,11,0.1,23,13,6,14.1,2,0,10,0,2,1,4,2,2,Y
0,23.1,1,1,0,6,0.2,20,10,5,4.3,2,0,10,0,3,0,0,0,0,N
0,16.7,1,1,0,6,0.2,19,10,5,4.3,2,0,10,0,2,0,0,0,0,N
0,54.6,1,1,3,7,0.2,38,13,14,4.4,9,0,10,0,9,0,0,0,0,Y
2,24,0.5,1,0,11,0.1,40,19,13,9.8,6,0,19,0,6,1,4,2,2,N
2,35.4,0.3,1,3,17,0,111,56,27,40,6,0,53,0,26,3,12,6,6,N
0,20,1,1,1,10,0.2,16,9,4,6.7,1,0,8,0,1,0,0,0,0,N
2,56.3,0.3,1,10,10,0,102,41,29,23.2,1,0,31,0,30,3,12,6,6,Y
2,0,0.5,1,0,10,0,55,49,4,92.1,1,0,49,0,0,1,4,2,2,N
2,73.1,0.5,1,16,11,0.1,34,23,6,11,1,0,7,0,3,1,4,2,2,Y
2,42.1,0.5,1,1,10,0,86,34,27,23.6,1,0,33,0,23,1,4,2,2,Y
2,14.8,0.3,0.3,0,10,0.1,36,23,7,21.8,0,0,23,0,4,2,8,4,4,N
2,30,0.5,1,4,11,0.1,27,18,5,8.3,4,0,14,0,2,1,4,2,2,N
2,0,0.3,1,0,12,0,30,22,6,38.4,1,0,22,0,0,2,8,4,4,N
2,50,0.3,1,5,11,0,89,35,27,30.8,1,0,30,0,25,2,8,4,4,Y
2,55.6,0.3,0.3,9,11,0.1,25,17,5,19.3,0,0,8,0,1,2,8,4,4,Y
0,40,1,1,0,7,0.1,18,6,5,7,0,2,6,0,4,0,0,0,0,N
2,22.2,0.5,0.5,0,11,0.1,31,14,10,17.1,0,2,14,0,4,1,4,2,2,N
2,25.6,0.3,0.3,2,14,0,60,34,8,73.2,0,5,32,0,9,2,8,4,4,Y
2,14.3,0.5,1,1,12,0.1,21,13,4,10.4,1,2,12,0,1,1,4,2,2,N
2,18.8,0.3,1,2,9,0.2,23,15,5,6,3,0,13,0,1,2,8,4,4,N
2,32.3,0.3,1,4,8,0.1,50,25,15,9.5,5,3,21,0,6,2,8,4,4,N
2,19.1,0.5,1,0,8,0.2,33,17,10,6.3,5,1,17,0,4,1,4,2,2,N
2,34.8,0.2,1,3,11,0.1,69,33,21,11.8,9,0,30,0,13,4,16,8,8,Y
2,0,0.5,0.5,0,10,0.1,13,9,2,11.7,1,0,9,0,0,1,4,2,2,N
2,0,0.5,0.5,0,12,0.1,15,10,3,12.7,0,0,10,0,0,1,4,2,2,N
0,45.5,1,1,0,7,0.2,20,6,7,4.7,2,0,6,0,5,0,0,0,0,N
3,16,0.1,0.6,1,12,0.1,38,22,11,9.9,4,0,21,0,3,6,18,9,6,Y
2,79.2,0.3,0.7,18,15,0.1,30,23,4,14.4,2,1,5,0,1,2,8,4,4,N
2,58.3,0.3,0.7,5,13,0.1,18,10,4,16.3,1,1,5,0,2,2,8,4,4,N
0,0,1,1,0,4,0.5,5,2,1,2,0,1,2,0,0,0,0,0,0,N
2,71.4,0.5,0.5,6,7,0.1,33,12,7,7.9,0,4,6,0,9,1,4,2,2,N
2,75,0.3,0.3,6,11,0.1,51,15,11,15.1,0,3,9,0,21,2,8,4,4,N
0,60,1,1,3,8,0.2,9,5,2,6,2,1,2,0,0,0,0,0,0,N
0,66.7,1,1,4,8,0.2,10,6,2,6.3,2,1,2,0,0,0,0,0,0,N
0,50,1,1,1,4,0.5,5,2,1,2,0,1,1,0,0,0,0,0,0,N
0,66.7,1,1,2,14,0.1,32,10,6,9.9,2,1,8,0,14,0,0,0,0,N
0,0,0.6,0.3,0,24,0,40,36,3,43.9,3,3,36,0.6,0,0,0,0,0,N
0,0,0.9,0.9,0,11,0.1,19,17,1,17.5,1,3,17,0.8,0,0,0,0,0,N
0,0,1,0.1,0,19,0,21,19,1,25.3,0,3,19,1,0,0,0,0,0,N
0,0,1,1,0,4,0.5,1,0,0,2,0,0,0,0,0,0,0,0,0,N
0,0,1,1,0,4,0.5,1,0,0,2,0,0,0,0,0,0,0,0,0,N
0,9.1,0.5,0.3,1,17,0,27,21,4,23.4,1,1,20,0.4,1,0,0,0,0,N
0,0,0.3,0.3,0,12,0.1,12,10,1,21.6,0,3,10,0,0,0,0,0,0,N
0,33.3,1,1,1,3,0.7,18,3,10,1.5,1,1,2,0,0,0,0,0,0,N
0,33.3,1,1,1,3,0.7,18,3,10,1.5,1,1,2,0,0,0,0,0,0,N
0,50,1,1,1,3,0.7,5,2,0,1.5,1,0,1,0,0,0,0,0,0,N
0,50,1,1,1,3,0.7,5,2,0,1.5,1,0,1,0,0,0,0,0,0,N
0,70.6,1,1,9,8,0.2,54,14,23,4.4,8,1,5,0,3,0,0,0,0,N
0,70.6,1,1,9,8,0.2,54,14,23,4.4,8,1,5,0,3,0,0,0,0,N
0,59.3,1,1,8,5,0.3,134,19,15,3.2,8,2,11,0,8,0,0,0,0,N
0,59.3,1,1,8,5,0.3,134,19,15,3.2,8,2,11,0,8,0,0,0,0,N
2,0,0.5,1,0,10,0.1,18,14,2,13.3,2,0,14,0,0,1,4,2,2,N
0,8.3,0.5,0.5,1,6,0.1,14,12,1,9,0,1,11,0,0,0,0,0,0,N
0,0,1,1,0,3,0.6,8,5,1,1.8,3,0,5,0,0,0,0,0,0,N
0,0,0.5,1,0,8,0.1,13,11,1,7,1,1,11,0,0,0,0,0,0,N
0,0,1,1,0,5,0.2,9,8,0,5.6,1,1,8,0,0,0,0,0,0,N
0,0,0.5,1,0,8,0.1,12,10,1,7.3,1,1,10,0,0,0,0,0,0,N
0,0,0.9,0.4,0,13,0.1,23,20,1,17.6,2,0,20,0.8,0,0,0,0,0,N
0,15,0.3,0.3,3,7,0.1,28,20,7,13,1,2,17,0,0,0,0,0,0,N
0,0,0.5,0.5,0,7,0.1,9,7,1,7,0,2,7,0,0,0,0,0,0,N
0,17.9,0.6,0.8,0,19,0,35,23,6,23.4,2,2,23,0.5,5,0,0,0,0,N
0,29.4,0.6,0.1,3,16,0.1,65,39,12,18.7,0,0,36,0.6,12,0,0,0,0,N
0,0,0.3,0.3,0,9,0.1,9,7,1,9.8,1,1,7,0,0,0,0,0,0,N
2,54.2,0.2,1,4,19,0,114,42,30,29,5,2,38,0,41,1,4,2,2,N
2.6,40.3,1,0.7,8,17,0,118,54,40,28.9,1,2,46,1,23,16,52,26,20,N
2,46.7,0.2,1,5,12,0.1,89,37,28,20.7,4,2,32,0,23,4,16,8,8,N
2,63.6,0.5,1,3,15,0.1,61,19,16,13.6,2,2,16,0,25,1,4,2,2,N
2.3,32.7,0.6,0.7,4,20,0,89,39,29,25.3,4,2,35,0.5,13,4,14,7,6,N
0,25,0.3,1,1,12,0.1,37,19,12,9.6,3,2,18,0,5,0,0,0,0,N
2,44.1,0.5,0.5,2,8,0,45,21,10,23.1,1,0,19,0,13,1,4,2,2,N
0,55.8,1,1,0,13,0.1,88,19,24,22,1,0,19,0,24,0,0,0,0,N
2,61.5,0.3,0.7,3,13,0.1,55,18,15,14.9,3,3,15,0,21,2,8,4,4,N
2.5,62,0.8,0.5,4,18,0.1,69,23,18,21.2,1,2,19,0.7,27,3,10,5,4,N
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2,49.1,0.2,1,8,21,0.1,77,35,22,21.5,5,3,27,0,18,2,8,4,4,N
2,65.3,0.8,0.8,5,20,0.1,66,22,14,19.5,3,3,17,0.8,27,4,16,8,8,N
3,63.9,1,0.7,4,15,0.1,51,17,14,16.5,4,3,13,1,19,2,6,3,2,N
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2,64.6,0.5,1,8,13,0.1,126,31,60,17.9,8,0,23,0,34,1,4,2,2,N
2.7,52.2,0.5,0.8,12,23,0.1,102,44,33,20.3,9,0,32,0.4,23,5,16,8,6,N
2,46.2,0.6,0.5,9,16,0,111,51,30,30,7,3,42,0.6,27,10,40,20,20,N
2,25.9,0.3,0.8,4,17,0.1,32,24,3,20.4,2,1,20,0,3,3,12,6,6,N
2,50,0.3,1,1,10,0.1,42,15,13,9.5,4,2,14,0,13,3,12,6,6,N
2.4,24.7,0.9,0.3,1,16,0,97,65,11,23.7,2,2,64,0.9,20,11,38,19,16,N
4.7,50.5,0.8,0.3,9,19,0,125,63,15,34.1,6,2,54,0.8,46,22,56,84,12,N
2,88.9,0.3,0.3,6,11,0.1,69,12,13,11,0,2,6,0,42,2,8,4,4,N
3,8.3,1,0.7,0,14,0.1,17,11,4,11.7,2,3,11,1,1,2,6,3,2,N
0,86.4,1,1,0,4,0.5,30,3,7,2,1,2,3,0,19,0,0,0,0,N
2,0,0.5,0.5,0,12,0.1,10,6,3,11.3,1,2,6,0,0,1,4,2,2,N
0,0,1,1,0,6,0.3,5,2,2,3,1,2,2,0,0,0,0,0,0,N
0,0,1,1,0,7,0.3,5,2,2,3.5,1,2,2,0,0,0,0,0,0,N
0,14.3,1,1,0,6,0.3,80,6,2,4,1,1,6,0,1,0,0,0,0,N
0,45.7,0.6,0.3,7,25,0,55,32,7,33.1,3,0,25,0.6,14,0,0,0,0,N
0,0,0.5,0.5,0,9,0.1,10,7,2,7.2,0,0,7,0,0,0,0,0,0,N
2,0,0.1,0.9,0,16,0.1,35,33,1,19.4,9,0,33,0,0,7,28,14,14,N
0,0,0.2,0.8,0,14,0.1,17,15,1,11.3,3,0,15,0,0,0,0,0,0,N
0,0,0.3,0.7,0,13,0.1,11,8,2,14.1,1,1,8,0,0,0,0,0,0,N
0,35.4,0.8,0.1,17,26,0,50,48,1,47.4,0,3,31,0.8,0,0,0,0,0,N
0,9.1,0.3,0.3,1,13,0.1,13,11,1,10.8,0,2,10,0,0,0,0,0,0,N
0,6.9,0.9,0.6,0,18,0,31,27,1,27.6,2,2,27,0.8,2,0,0,0,0,N
0,7.7,0.6,1,0,18,0,16,12,2,27.8,3,2,12,0.5,1,0,0,0,0,N
0,5.6,0.5,0.4,2,38,0,102,86,12,59.3,12,2,84,0.5,3,0,0,0,0,N
0,7.8,0.6,0.4,0,30,0,55,47,3,65,4,2,47,0.6,4,0,0,0,0,N
0,0,0.1,0.6,0,17,0,26,20,5,23,2,2,20,0,0,0,0,0,0,N
0,0,1,1,0,3,0.5,5,3,0,2,1,0,3,0,0,0,0,0,0,N
0,2.2,0.5,0.9,1,18,0,98,91,5,42.9,16,2,90,0.5,1,0,0,0,0,N
0,5.6,0.4,0.7,0,31,0,99,84,9,61.7,13,2,84,0.4,5,0,0,0,0,N
0,11.1,0.3,0.8,0,27,0,49,40,3,39,12,2,40,0.2,5,0,0,0,0,N
0,9.9,0.8,0.8,2,25,0,78,66,6,45.9,11,2,64,0.8,5,0,0,0,0,N
0,4.1,0.8,0.9,2,23,0,156,141,10,55.5,12,2,139,0.8,4,0,0,0,0,N
0,0,1,1,0,5,0.4,1,0,0,2.5,0,0,0,0,0,0,0,0,0,N
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2.2,19.1,0.5,0.4,7,22,0,75,62,5,67.8,2,1,55,0.5,6,16,58,29,26,N
2,15.4,0.1,0.6,1,22,0,77,45,23,24.9,5,1,44,0,7,2,8,4,4,N
2.5,11.8,1,0.1,6,23,0,93,81,6,40.4,2,1,75,0.9,4,18,60,30,24,N
0,4.8,0.3,1,0,14,0.1,26,20,3,10.3,3,1,20,0,1,0,0,0,0,N
2.8,30.4,0.7,0.7,6,24,0.1,81,45,23,18.9,7,0,39,0.7,11,7,22,11,8,N
2,0,0.3,0.3,0,11,0.1,14,9,3,13.8,0,3,9,0,0,2,8,4,4,N
2,35.1,0.2,0.5,4,20,0,73,41,14,64.3,1,0,37,0,16,5,20,10,10,N
2.4,32.1,0.6,0.6,12,24,0,161,84,53,62.4,2,0,72,0.5,22,13,44,22,18,N
2,44.9,0.7,0.6,3,21,0,65,30,14,44.1,3,0,27,0.7,19,6,24,12,12,N
2,49,0.7,0.6,4,21,0,72,30,19,40.1,3,0,26,0.7,21,6,24,12,12,N
2.6,35.7,0.6,0.5,18,21,0,184,119,24,45.5,2,4,101,0.6,38,21,68,34,26,N
2,49,0.7,0.6,5,21,0,70,30,19,40.1,3,0,25,0.7,19,6,24,12,12,N
0,15.4,0.1,0.2,1,23,0,75,45,21,24.1,1,1,44,0,7,0,0,0,0,N
2.5,44.4,0.3,0.3,4,12,0.1,16,9,5,20.4,0,2,5,0,0,3,10,5,4,N
2.6,38.9,0.7,0.1,7,26,0,121,62,29,77.4,1,0,55,0.6,28,19,62,35,24,N
2.3,37.1,0.2,0.3,9,24,0,140,75,33,81.1,2,0,66,0.1,30,15,54,27,24,N
2.4,42.1,0.1,0.1,25,24,0,205,120,39,79.2,1,0,95,0.1,44,34,118,59,50,N
0,43.5,1,1,0,12,0.1,41,13,16,13.6,1,0,13,0,10,0,0,0,0,N
2,66.7,0.3,1,3,6,0.2,20,7,6,5.4,3,0,4,0,5,3,12,6,6,N
2.6,14.1,0.6,0.4,16,33,0,241,180,48,83.9,1,2,164,0.6,11,28,92,46,36,N
3,35.9,1,0.7,2,17,0.1,128,52,48,20,7,0,50,1,26,2,6,3,2,N
4,64.3,0.3,0.3,1,11,0.1,24,6,8,11,0,0,5,0,8,3,8,4,2,N
3,66.7,0.5,0.5,1,10,0.1,23,5,9,8,0,0,4,0,7,2,6,3,2,N
4.3,31.4,1,0.1,4,14,0,56,28,10,26.4,0,0,24,1,7,13,34,17,8,N
0,0,1,0.6,0,17,0.1,23,21,1,21.5,3,2,21,1,0,0,0,0,0,N
0,0,0.3,1,0,14,0.1,14,12,1,14,3,2,12,0,0,0,0,0,0,N
0,0,0.5,1,0,12,0.1,10,8,1,9.6,1,2,8,0,0,0,0,0,0,N
0,5.1,0.6,1,2,20,0.1,42,39,2,21.1,8,1,37,0.6,0,0,0,0,0,N
0,7.1,0.1,1,0,16,0,48,39,5,25.5,5,3,39,0,3,0,0,0,0,N
2.1,0,0.1,0.6,0,14,0.1,40,35,3,14.4,8,0,35,0,0,8,30,15,14,N
0,0,0.2,0.7,0,21,0.1,45,43,1,20.7,10,1,43,0.2,0,0,0,0,0,N
2,0,0.3,0.7,0,11,0.1,14,6,2,8.3,2,0,6,0,0,2,8,4,4,N
2,0,1,1,0,15,0,46,28,12,32.5,5,0,28,0,0,12,48,24,24,N
2,0,0.3,0.8,0,10,0.1,17,8,3,10.8,2,0,8,0,0,3,12,6,6,N
2,36.4,0.5,0.5,4,9,0.1,18,11,1,8.2,0,5,7,0,0,1,4,2,2,N
0,0,1,1,0,5,0,14,10,0,33.8,0,3,10,0,0,0,0,0,0,N
2,0,0.5,0.5,0,7,0.2,10,4,1,6.4,0,4,4,0,0,1,4,2,2,N
0,0,1,1,0,6,0.1,9,5,0,8.3,2,3,5,0,0,0,0,0,0,N
0,0,1,1,0,0,0,38,0,0,0,0,2,0,0,0,0,0,0,0,N
2,40.7,0.1,0.6,19,21,0,80,54,17,122.9,1,2,35,0,5,3,12,6,6,N
0,0,1,1,0,6,0.1,13,8,1,16.1,0,3,8,0,0,0,0,0,0,N
2,40.7,0.1,0.6,19,20,0,81,54,18,124.4,1,2,35,0,5,3,12,6,6,N
2,28.6,0.5,0.5,2,9,0.1,11,7,0,9,0,3,5,0,0,1,4,2,2,N
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2.5,33.3,1,0.8,2,13,0.1,22,12,3,15,2,5,10,1,3,3,10,5,4,N
3,21.4,1,0.1,6,12,0,52,39,6,55,2,5,33,1,3,6,18,9,6,N
3.3,24.4,1,0.1,7,14,0,50,38,5,53.7,2,4,31,1,3,7,20,10,6,N
0,15.1,0.8,0.6,0,30,0,82,62,8,44.7,13,2,62,0.8,11,0,0,0,0,N
0,0,0.8,0.8,0,13,0.1,14,12,1,11.9,4,2,12,0.7,0,0,0,0,0,N
2,0,0.3,0.3,0,10,0.1,21,17,0,11.3,1,3,17,0,0,2,8,4,4,Y
2,0,0.5,0.5,0,10,0.1,12,7,2,10.7,1,2,7,0,0,1,4,2,2,N
2,0,0.5,0.5,0,5,0.2,8,5,0,5,0,2,5,0,0,1,4,2,2,N
2.2,13.3,0.5,0.1,6,17,0,55,45,2,35.1,0,7,39,0.5,0,11,40,20,18,N
0,4.8,1,1,0,6,0,27,20,1,91.9,0,3,20,0,1,0,0,0,0,N
2,9.1,0.3,0.3,0,8,0.1,17,10,1,8.8,0,3,10,0,1,2,8,4,4,N
2,9.1,0.3,0.3,0,8,0.1,17,10,1,8.8,0,3,10,0,1,2,8,4,4,N
2,5.6,0.1,0.1,0,8,0.1,25,17,2,19,0,3,17,0,1,6,24,12,12,N
0,11.1,1,1,0,6,0,15,8,1,24,0,3,8,0,1,0,0,0,0,N
2,35.3,0.5,0.3,12,16,0,42,34,4,29.1,2,3,22,0.4,0,5,20,10,10,Y
2,28.6,0.5,0.5,2,9,0.1,11,7,0,9,0,3,5,0,0,1,4,2,2,N
2,0,0.5,0.5,0,7,0.1,9,5,0,9.1,0,2,5,0,0,1,4,2,2,N
0,0,1,1,0,8,0.3,4,2,0,4,1,2,2,0,0,0,0,0,0,N
0,8.7,1,1,0,8,0,28,21,2,35.7,0,2,21,0,2,0,0,0,0,N
2.5,21.4,1,0.8,0,13,0.1,19,11,1,14.5,2,5,11,1,3,3,10,5,4,N
2.7,41.9,1,0.7,3,18,0,44,21,9,75.6,3,5,18,1,10,5,16,8,6,N
2.6,28.2,1,0.5,5,19,0,54,33,11,89.3,3,4,28,1,6,11,36,18,14,N
2,0,0.5,0.5,0,9,0,13,8,1,36.9,0,3,8,0,0,1,4,2,2,N
2,0,0.3,0.3,0,14,0.1,19,13,1,20.5,1,4,13,0,0,3,12,6,6,N
2,14.3,0.3,0.3,2,12,0,31,20,5,45.2,3,4,18,0,1,2,8,4,4,N
0,20,1,1,0,10,0.1,18,8,6,8.6,1,0,8,0,2,0,0,0,0,N
2,13.7,0.2,1,2,19,0,72,46,19,33.1,4,0,44,0,5,4,16,8,8,N
2,34.6,0.1,0.4,8,19,0,77,44,20,25.7,3,0,36,0,11,7,28,14,14,N
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2,0,0.5,1,0,8,0.1,11,7,2,7.2,1,2,7,0,0,1,4,2,2,N
2,25.5,0.3,0.3,0,12,0,62,35,13,23.6,1,0,35,0,12,2,8,4,4,N
2,0,0.5,0.5,0,6,0.2,11,6,3,6,0,0,6,0,0,1,4,2,2,N
2,27.8,0.3,0.7,1,12,0.1,29,14,9,15,1,0,13,0,4,2,8,4,4,N
2,6.7,0.5,0.5,0,13,0,40,28,8,22.9,0,0,28,0,2,1,4,2,2,N
2,0,0.5,0.5,0,7,0,25,15,8,28.7,0,0,15,0,0,1,4,2,2,N
2,0,0.5,0.5,0,7,0.1,19,11,6,20.3,0,0,11,0,0,1,4,2,2,N
2,8.3,0.5,0.5,0,7,0.1,20,11,6,14,0,0,11,0,1,1,4,2,2,N
2,13.6,0.3,0.3,1,8,0,30,20,6,27.4,0,0,19,0,2,2,8,4,4,N
2,35.3,0.3,0.8,3,15,0.1,75,36,22,11,16,0,33,0,15,4,16,8,8,N
0,2.6,0.1,1,2,33,0.1,107,76,29,21.8,20,0,74,0,0,0,0,0,0,N
2.3,17.1,0.5,0.2,2,19,0,103,65,25,65.3,3,0,63,0.5,11,14,50,25,22,N
2.3,26.7,0.3,0.5,6,22,0,83,50,21,46.8,3,0,44,0.2,10,9,32,16,14,N
2.6,24.3,0.7,0.5,6,25,0,145,90,32,50,12,0,84,0.7,21,18,58,29,22,N
0,14.3,0.3,1,1,15,0.1,33,19,10,13.1,4,0,18,0,2,0,0,0,0,N
2,27.3,0.5,1,1,7,0.2,28,9,15,4.5,4,0,8,0,2,1,4,2,2,N
0,0,1,1,0,4,0.3,9,4,3,3,0,0,4,0,0,0,0,0,0,N
2,25.6,0.5,0.5,0,12,0.1,58,32,13,18.4,2,0,32,0,11,1,4,2,2,N
3.5,21.7,1,0.6,2,15,0.1,64,20,12,11.3,4,0,18,1,3,5,14,7,4,N
2,32.4,0.2,0.3,4,13,0,52,29,13,37.2,1,0,25,0,8,5,20,10,10,N
2.5,43.6,0.9,0.4,6,21,0,57,28,16,38.3,1,0,22,0.8,11,6,20,10,8,N
2,20,0.1,0.6,0,17,0,68,40,16,34,3,0,40,0,10,6,24,12,12,N
2.2,31.2,0.3,0.5,6,24,0,128,70,33,58.8,6,0,64,0.3,23,16,58,29,26,N
