HALSTEAD_DIFFICULTY,ESSENTIAL_COMPLEXITY,MODIFIED_CONDITION_COUNT,NUM_OPERANDS,ESSENTIAL_DENSITY,NUM_UNIQUE_OPERATORS,HALSTEAD_LENGTH,CONDITION_COUNT,PARAMETER_COUNT,DECISION_COUNT,DESIGN_DENSITY,LOC_BLANK,EDGE_COUNT,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,NUMBER_OF_LINES,NUM_OPERATORS,NODE_COUNT,PERCENT_COMMENTS,CYCLOMATIC_COMPLEXITY,Defective
16.0,1,3,30,0.0,16,85,12,2,6,1.0,5,17,7,6,35,55,15,17.24,4,N
18.12,1,2,44,0.0,14,106,8,1,4,0.67,15,10,5,4,44,62,9,57.14,3,N
13.5,1,1,18,0.0,12,43,4,1,2,0.5,6,5,3,2,20,25,5,30.77,2,N
17.06,1,1,21,0.0,13,53,4,2,2,0.5,5,5,3,2,19,32,5,30.77,2,N
16.32,1,6,28,0.0,14,74,22,4,10,0.14,10,23,13,11,36,46,18,68.0,7,N
10.11,1,2,26,0.0,14,72,8,1,4,1.0,14,13,5,4,44,46,12,34.48,3,N
33.87,10,15,199,0.6,32,526,52,5,22,0.69,35,68,31,26,157,327,54,37.19,16,N
10.67,1,2,16,0.0,12,43,8,0,4,0.67,6,11,5,4,24,27,10,52.94,3,N
20.7,1,4,45,0.0,23,159,16,0,8,0.8,17,23,9,8,72,114,20,50.0,5,N
30.2,1,2,89,0.0,19,205,8,1,4,0.67,16,11,5,4,54,116,10,45.95,3,N
33.51,1,5,124,0.0,20,279,20,1,10,0.33,11,26,11,10,58,155,22,41.3,6,N
126.56,27,65,798,0.27,72,2027,248,3,118,0.66,81,345,162,124,750,1229,251,36.68,96,N
5.69,1,3,13,0.0,7,28,12,1,6,0.75,20,12,7,6,35,15,10,28.57,4,N
31.06,10,15,176,0.6,24,399,60,1,30,0.19,115,67,31,30,212,223,53,48.96,16,N
51.47,12,31,267,0.35,32,589,116,1,54,0.31,156,129,63,58,330,322,99,48.48,32,N
41.72,27,28,463,0.93,31,1112,106,3,50,0.76,48,161,57,53,307,649,134,36.05,29,N
17.2,7,10,86,0.6,18,253,38,3,18,0.91,17,44,21,19,93,167,35,18.67,11,N
38.23,3,11,203,0.18,29,487,42,3,20,0.83,74,64,23,21,186,284,54,43.24,12,N
15.16,1,2,32,0.0,18,82,8,3,4,1.0,33,14,5,4,62,50,13,42.86,3,N
18.29,1,3,64,0.0,16,134,12,2,6,1.0,4,25,7,6,27,70,23,13.64,4,N
23.73,1,5,89,0.0,16,182,20,2,10,1.0,4,38,11,10,33,93,34,10.71,6,N
10.11,1,4,95,0.0,10,191,16,1,8,1.0,1,32,9,8,38,96,29,2.78,5,N
20.16,1,4,48,0.0,21,100,16,1,8,0.8,5,24,9,8,33,52,21,7.41,5,N
13.61,1,4,94,0.0,11,189,16,1,8,1.0,2,41,9,8,34,95,38,3.23,5,N
9.27,1,1,51,0.0,8,103,4,1,2,1.0,1,16,3,2,20,52,16,5.56,2,N
13.07,1,3,28,0.0,14,55,12,1,6,1.0,1,20,7,6,18,27,18,6.25,4,N
21.53,1,2,53,0.0,26,132,8,1,4,1.0,1,36,16,4,52,79,25,2.0,13,N
23.03,1,3,58,0.0,27,142,12,1,6,1.0,1,39,18,6,55,84,27,1.89,14,N
10.16,1,6,130,0.0,10,263,24,1,12,1.0,4,47,13,12,48,133,42,2.33,7,N
18.79,9,12,91,0.67,19,265,42,3,18,0.77,16,48,25,23,92,174,37,17.33,13,N
41.66,3,12,215,0.17,31,514,46,3,22,0.77,40,69,25,23,155,299,58,42.98,13,N
36.04,9,16,193,0.5,31,465,62,3,30,0.65,77,87,33,31,201,272,72,34.78,17,N
12.5,1,1,20,0.0,15,62,4,0,2,0.5,4,6,3,2,19,42,6,28.57,2,N
6.29,1,1,8,0.0,11,27,4,0,2,1.0,4,5,3,2,19,19,5,57.14,2,N
6.29,1,1,8,0.0,11,27,4,0,2,1.0,4,5,3,2,19,19,5,57.14,2,N
10.64,1,1,18,0.0,13,40,4,1,2,0.5,7,7,3,2,30,22,7,31.82,2,N
10.0,1,1,15,0.0,12,39,4,1,2,0.5,3,7,3,2,20,24,7,43.75,2,N
26.1,4,2,54,0.33,29,142,6,3,2,0.4,27,25,13,3,103,88,17,49.33,10,N
17.6,5,5,22,0.8,16,59,16,2,6,0.17,6,18,11,8,25,37,14,22.22,6,N
27.86,3,6,60,0.17,26,150,22,2,10,0.15,20,44,21,11,89,90,33,30.88,13,N
6.11,1,1,10,0.0,11,29,4,2,2,0.5,4,5,3,2,17,19,5,8.33,2,N
6.11,1,1,10,0.0,11,28,4,2,2,0.5,5,5,3,2,19,18,5,15.38,2,N
9.63,1,1,11,0.0,14,32,4,1,2,0.5,3,6,3,2,18,21,6,21.43,2,N
10.5,4,3,28,1.0,15,96,12,1,6,1.0,7,14,7,6,39,68,12,32.25,4,N
9.64,1,2,27,0.0,15,85,8,2,4,0.33,12,12,5,4,56,58,11,55.81,3,Y
10.5,4,3,28,1.0,15,96,12,1,6,1.0,7,14,7,6,37,68,12,20.69,4,N
9.47,1,2,23,0.0,14,60,8,2,4,1.0,14,11,5,4,70,37,10,67.27,3,Y
11.08,1,2,28,0.0,19,81,8,2,4,1.0,10,10,5,4,47,53,9,38.89,3,Y
10.5,1,2,21,0.0,18,64,8,1,4,1.0,8,10,5,4,50,43,9,51.22,3,Y
7.33,1,2,12,0.0,11,38,8,2,4,1.0,0,12,5,4,16,26,11,13.33,3,Y
7.26,1,2,19,0.0,13,49,8,1,4,1.0,0,10,5,4,14,30,9,0.0,3,N
10.93,1,2,27,0.0,17,72,8,1,4,1.0,0,12,5,4,22,45,11,0.0,3,N
13.06,4,7,64,0.43,20,159,26,1,12,0.88,10,32,15,13,88,95,26,42.86,8,Y
21.41,7,17,218,0.35,22,591,64,2,30,0.89,4,80,35,32,118,373,64,19.47,18,Y
10.43,1,2,27,0.0,17,72,8,1,4,1.0,0,12,5,4,22,45,11,0.0,3,N
12.75,4,3,39,1.0,17,98,10,1,4,0.75,0,15,7,5,23,59,13,0.0,4,N
14.8,6,7,67,0.71,19,187,24,4,10,0.75,2,24,15,12,54,120,18,19.61,8,N
28.0,1,2,112,0.0,23,256,8,1,4,1.0,2,14,5,4,65,144,13,24.19,3,Y
14.77,3,3,24,0.67,16,64,10,0,4,0.5,5,12,7,5,28,40,10,0.0,4,N
19.13,3,3,40,0.67,22,107,10,1,4,0.75,4,14,7,5,37,67,12,25.0,4,Y
44.71,3,10,190,0.2,32,475,36,3,16,0.91,35,64,21,18,186,285,55,45.33,11,Y
6.5,1,1,13,0.0,13,32,4,1,2,0.5,4,7,3,2,28,19,7,56.52,2,Y
15.91,5,5,35,0.8,20,98,18,1,8,0.83,0,20,11,9,38,63,16,24.32,6,Y
21.54,4,4,35,0.75,16,83,16,2,8,1.0,14,21,9,8,49,48,18,17.65,5,N
6.75,1,1,6,0.0,9,19,4,1,2,1.0,5,7,3,2,16,13,7,0.0,2,N
11.21,10,9,50,1.0,13,136,36,2,18,0.9,12,47,19,18,63,86,39,0.0,10,N
20.43,10,9,47,1.0,20,118,32,2,14,0.8,8,40,19,16,39,71,32,3.33,10,N
10.16,10,9,50,1.0,13,138,36,2,18,0.9,12,47,19,18,63,88,39,0.0,10,N
7.24,1,2,37,0.0,9,81,8,2,4,0.67,7,10,5,4,32,44,9,8.33,3,N
12.07,4,5,26,0.6,13,67,18,1,8,0.83,5,21,11,9,29,41,17,21.74,6,N
12.0,1,2,14,0.0,12,43,8,2,4,0.67,3,10,5,4,16,29,9,0.0,3,N
35.93,7,10,98,0.6,33,241,36,5,16,0.45,17,43,21,18,68,143,34,18.0,11,N
31.4,1,6,186,0.0,26,449,24,4,12,0.86,16,31,13,12,81,263,26,7.81,7,N
18.54,1,4,80,0.0,19,209,16,1,8,1.0,11,24,9,8,58,129,21,8.7,5,N
3.5,1,1,4,0.0,7,15,4,2,2,0.5,1,5,3,2,11,11,5,0.0,2,N
36.25,1,6,65,0.0,29,185,24,5,12,0.71,10,29,13,12,67,120,24,30.36,7,N
