CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,EDGE_COUNT,MAINTENANCE_SEVERITY,HALSTEAD_EFFORT,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,PARAMETER_COUNT,HALSTEAD_CONTENT,NODE_COUNT,NUM_UNIQUE_OPERATORS,HALSTEAD_VOLUME,CALL_PAIRS,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_UNIQUE_OPERANDS,LOC_EXECUTABLE,NUM_OPERATORS,HALSTEAD_DIFFICULTY,CYCLOMATIC_DENSITY,Defective
1,1,8,1.0,328.18,0.33,18.23,0,36.46,9,6,109.39,7,0.03,9,9,9,19,3.0,0.11,N
2,1,12,0.5,3221.11,0.11,178.95,0,35.9,12,11,340.06,5,0.05,31,18,15,39,9.47,0.13,N
2,1,7,0.5,1267.48,0.1,70.42,0,13.68,7,11,131.69,1,0.11,14,8,9,17,9.63,0.22,N
3,3,13,0.33,2098.48,0.13,116.58,0,35.26,12,8,272.03,3,0.13,27,14,16,34,7.71,0.19,N
3,2,14,0.33,3787.08,0.09,210.39,0,32.92,13,13,353.11,5,0.08,33,20,15,37,10.73,0.19,N
1,1,1,1.0,371.04,0.22,20.61,0,18.32,2,6,82.45,0,0.11,9,6,5,14,4.5,0.2,N
2,2,8,0.5,1143.35,0.18,63.52,0,37.27,8,8,206.44,4,0.1,18,13,13,29,5.54,0.15,N
6,4,28,0.5,15883.78,0.04,882.43,0,32.04,24,16,713.53,5,0.12,64,23,35,71,22.26,0.17,N
1,1,6,1.0,2418.71,0.1,134.37,2,25.09,7,9,246.35,3,0.04,24,11,14,33,9.82,0.07,N
6,3,27,0.5,17851.06,0.04,991.73,0,32.64,23,19,763.37,5,0.11,64,26,37,75,23.38,0.16,N
6,1,27,0.17,26259.72,0.04,1458.87,0,32.58,23,14,925.0,1,0.08,73,18,32,112,28.39,0.15,N
1,1,1,1.0,107059.51,0.06,5947.75,0,372.88,2,10,6318.27,0,0.01,366,108,96,552,16.94,0.01,N
1,1,11,1.0,1034.06,0.24,57.45,0,59.86,12,7,248.8,10,0.03,19,16,11,36,4.16,0.07,Y
2,2,16,0.5,7899.91,0.08,438.88,0,49.24,16,12,623.68,6,0.03,57,27,28,61,12.67,0.07,Y
6,3,24,0.17,16202.08,0.06,900.12,0,51.72,20,15,915.37,1,0.08,59,25,37,113,17.7,0.14,Y
3,2,11,0.33,518878.57,0.02,28826.59,0,201.95,10,18,10236.58,1,0.01,597,106,196,875,50.69,0.02,Y
1,1,6,1.0,1127.78,0.18,62.65,0,38.55,7,7,208.5,5,0.03,17,11,14,33,5.41,0.07,N
2,1,6,0.5,1660.33,0.1,92.24,3,15.69,6,12,161.42,0,0.07,12,7,5,26,10.29,0.17,Y
2,2,7,0.5,1154.03,0.1,64.11,0,11.35,7,11,114.45,1,0.13,11,6,8,17,10.08,0.22,N
7,5,30,0.14,24294.51,0.04,1349.7,0,34.86,25,16,920.25,8,0.1,66,20,26,112,26.4,0.21,Y
6,1,23,0.17,8313.66,0.04,461.87,0,15.38,19,15,357.58,2,0.17,31,10,21,46,23.25,0.29,N
6,4,29,0.17,7233.63,0.07,401.87,7,37.84,25,12,523.19,5,0.11,53,23,22,49,13.83,0.25,N
2,2,5,0.5,716.99,0.13,39.83,0,11.2,5,8,89.62,1,0.12,8,4,9,17,8.0,0.2,Y
8,6,39,0.13,69108.13,0.02,3839.34,5,34.93,33,16,1553.69,4,0.07,139,25,56,151,44.48,0.12,Y
2,2,13,0.5,7283.26,0.06,404.63,0,24.41,13,10,421.66,5,0.03,38,11,23,58,17.27,0.08,N
5,1,22,0.2,11146.31,0.04,619.24,5,19.88,19,13,470.73,1,0.13,51,14,16,48,23.68,0.31,N
2,2,5,0.5,1676.34,0.1,93.13,0,18.1,5,11,174.17,1,0.08,14,8,12,27,9.63,0.15,Y
3,3,16,0.33,321184.78,0.01,17843.6,0,46.28,15,16,3855.28,5,0.03,302,29,58,400,83.31,0.05,N
1,1,1,1.0,395.48,0.18,21.97,2,12.5,2,9,70.31,0,0.14,5,4,2,14,5.63,0.5,N
4,2,17,0.25,12637.26,0.04,702.07,0,23.89,15,17,549.45,3,0.09,46,17,23,62,23.0,0.17,Y
2,2,24,0.5,56592.42,0.03,3144.02,0,38.14,24,15,1469.07,4,0.05,113,22,20,169,38.52,0.07,Y
19,5,114,0.16,607387.78,0.01,33743.77,0,85.05,97,24,7187.42,9,0.09,500,71,92,594,84.51,0.12,Y
6,4,25,0.17,42015.91,0.03,2334.22,0,30.3,21,17,1128.3,1,0.16,92,21,26,123,37.24,0.21,N
2,2,19,0.5,2590.56,0.15,143.92,0,57.37,19,12,385.5,14,0.04,28,25,9,46,6.72,0.1,Y
4,2,29,0.25,10705.07,0.09,594.73,0,79.68,27,15,923.57,15,0.03,68,44,24,89,11.59,0.09,Y
6,4,21,0.83,11200.69,0.05,622.26,1,24.52,17,18,524.01,3,0.1,38,16,23,65,21.38,0.17,Y
4,3,18,0.25,4289.42,0.07,238.3,0,23.66,16,13,318.58,5,0.12,29,14,13,38,13.46,0.22,Y
6,2,25,0.17,19526.57,0.04,1084.81,1,33.43,21,20,808.0,3,0.09,58,24,31,90,24.17,0.13,Y
16,10,61,0.56,85224.2,0.02,4734.68,1,45.07,47,23,1959.88,8,0.11,121,32,52,218,43.48,0.15,Y
10,3,38,0.6,65882.72,0.02,3660.15,1,15.64,30,21,1015.0,2,0.13,68,11,19,135,64.91,0.24,Y
5,1,12,0.2,2266.4,0.11,125.91,2,26.73,9,13,246.12,1,0.17,17,12,18,36,9.21,0.25,Y
11,8,44,0.09,59060.03,0.03,3281.11,0,44.4,35,14,1619.25,2,0.09,99,19,66,222,36.47,0.14,Y
4,1,10,0.25,2155.2,0.1,119.73,2,22.54,8,11,220.42,0,0.13,16,9,19,35,9.78,0.21,N
5,3,18,0.8,8533.56,0.06,474.09,2,27.03,15,14,480.24,1,0.11,33,13,28,68,17.77,0.15,Y
6,6,29,0.17,10008.97,0.06,556.05,0,39.1,25,16,625.56,10,0.09,40,20,31,81,16.0,0.15,Y
12,2,47,0.25,31869.45,0.04,1770.53,0,60.51,37,17,1388.65,2,0.15,81,30,41,169,22.95,0.22,Y
8,4,36,0.13,33751.49,0.04,1875.08,0,67.61,30,17,1510.62,3,0.1,92,35,33,173,22.34,0.17,Y
3,1,10,0.33,3027.64,0.08,168.2,0,20.53,9,10,249.34,0,0.11,17,7,18,44,12.14,0.15,Y
5,2,18,0.2,33544.41,0.02,1863.58,0,16.9,15,20,753.04,1,0.08,49,11,32,103,44.55,0.13,Y
7,2,22,0.14,30142.12,0.02,1674.56,0,13.97,17,19,648.99,1,0.13,44,9,33,91,46.44,0.19,Y
1,1,1,1.0,358.77,0.25,19.93,0,22.42,2,5,89.69,0,0.1,8,5,6,19,4.0,0.17,N
8,4,33,0.13,61762.26,0.02,3431.24,0,28.26,27,22,1321.12,5,0.09,85,20,51,160,46.75,0.14,Y
2,1,5,0.5,36155.52,0.03,2008.64,0,34.23,5,13,1112.48,0,0.03,80,16,41,149,32.5,0.05,N
5,1,11,1.0,1442.7,0.11,80.15,0,18.06,8,11,161.42,0,0.33,13,8,8,25,8.94,0.5,Y
8,4,43,0.38,78609.33,0.03,4367.19,0,57.8,37,21,2131.6,12,0.08,144,41,60,214,36.88,0.11,Y
5,2,19,0.2,9053.79,0.05,502.99,0,20.05,16,17,426.06,2,0.09,35,14,25,51,21.25,0.17,Y
1,1,5,1.0,695.61,0.23,38.65,0,36.53,6,6,159.41,4,0.04,16,11,8,23,4.36,0.13,N
4,2,18,0.25,7382.54,0.07,410.14,0,31.79,16,16,484.48,5,0.08,40,21,19,53,15.24,0.15,Y
2,1,6,0.5,677.56,0.14,37.64,0,13.83,6,7,96.79,0,0.11,10,5,9,17,7.0,0.17,Y
4,2,12,0.75,6024.01,0.05,334.67,0,16.85,10,16,318.58,1,0.1,26,11,19,41,18.91,0.18,Y
2,1,6,0.5,976.92,0.11,54.27,0,12.62,6,8,111.01,0,0.11,11,5,13,19,8.8,0.15,N
1,1,1,1.0,82.35,0.38,4.57,0,11.58,2,4,30.88,0,0.1,4,3,3,7,2.67,0.25,Y
1,1,1,1.0,66.0,0.5,3.67,0,16.5,2,4,33.0,0,0.1,4,4,3,7,2.0,0.25,Y
1,1,1,1.0,82.35,0.38,4.57,0,11.58,2,4,30.88,0,0.11,4,3,3,7,2.67,0.25,Y
2,1,6,0.5,976.92,0.11,54.27,0,12.62,6,8,111.01,0,0.11,11,5,13,19,8.8,0.15,N
3,2,14,0.33,23605.34,0.04,1311.41,0,29.0,13,11,827.35,2,0.05,83,16,40,91,28.53,0.07,Y
1,1,7,1.0,139.52,0.5,7.75,0,34.88,8,4,69.76,6,0.09,6,6,8,15,2.0,0.13,N
4,1,16,0.25,16365.59,0.04,909.2,0,25.55,14,14,646.66,0,0.09,47,13,10,89,25.31,0.16,Y
2,1,6,0.5,639.44,0.14,35.52,0,12.33,6,8,88.81,0,0.18,9,5,7,15,7.2,0.29,N
1,1,1,1.0,936.12,0.15,52.01,0,21.49,2,6,141.84,0,0.08,11,5,6,30,6.6,0.17,N
2,1,6,0.5,639.44,0.14,35.52,0,12.33,6,8,88.81,0,0.17,9,5,7,15,7.2,0.29,N
2,1,6,0.5,639.44,0.14,35.52,0,12.33,6,8,88.81,0,0.17,9,5,7,15,7.2,0.29,N
2,1,6,0.5,639.44,0.14,35.52,0,12.33,6,8,88.81,0,0.2,9,5,7,15,7.2,0.29,N
2,2,5,0.5,104.61,0.33,5.81,0,11.62,5,6,34.87,1,0.18,3,3,6,8,3.0,0.33,N
1,1,3,1.0,779.42,0.19,43.3,3,28.28,4,7,148.46,2,0.06,12,8,9,26,5.25,0.11,N
1,1,3,1.0,66.0,0.5,3.67,1,16.5,4,4,33.0,2,0.1,4,4,4,7,2.0,0.25,N
4,4,26,0.25,5199.37,0.13,288.85,0,81.88,24,10,652.47,13,0.06,51,32,28,70,7.97,0.12,Y
2,2,15,0.5,6703.96,0.09,372.44,1,53.71,15,12,600.05,9,0.03,54,29,31,58,11.17,0.06,Y
8,6,47,0.5,78348.5,0.03,4352.69,2,76.97,41,19,2455.63,14,0.07,178,53,73,220,31.91,0.1,Y
11,2,59,0.09,129533.9,0.02,7196.33,5,30.35,50,21,1982.66,2,0.11,168,27,53,187,65.33,0.16,Y
3,3,13,0.33,117276.02,0.03,6515.33,4,104.59,12,18,3502.31,3,0.04,253,68,51,292,33.49,0.06,Y
1,1,4,1.0,179.38,0.33,9.97,0,19.93,5,5,59.79,3,0.06,6,5,6,12,3.0,0.17,N
2,1,6,0.5,1017.71,0.1,56.54,0,10.38,6,9,102.8,0,0.15,11,5,8,16,9.9,0.25,N
2,2,7,0.5,339.02,0.16,18.83,0,9.04,7,7,55.35,1,0.15,7,4,7,9,6.13,0.29,N
2,2,8,0.5,9030.08,0.05,501.67,1,23.75,8,12,463.08,3,0.04,39,12,21,62,19.5,0.08,Y
1,1,4,1.0,2454.36,0.09,136.35,1,19.88,5,10,220.89,3,0.04,20,9,10,32,11.11,0.1,N
1,1,1,1.0,914.21,0.11,50.79,1,11.29,2,10,101.58,0,0.1,9,5,6,17,9.0,0.17,N
16,4,62,0.25,76555.91,0.02,4253.11,0,40.24,48,21,1755.25,6,0.12,108,26,64,208,43.62,0.18,Y
1,1,1,1.0,872.01,0.13,48.44,0,15.5,2,6,116.27,0,0.1,10,4,4,25,7.5,0.2,Y
2,1,6,0.5,606.54,0.15,33.7,0,13.31,6,9,89.86,1,0.18,9,6,6,14,6.75,0.33,N
10,8,43,0.1,35752.82,0.03,1986.27,0,41.18,35,22,1213.43,7,0.12,75,28,44,140,29.46,0.16,Y
1,1,2,1.0,5537.66,0.06,307.65,0,21.63,3,8,346.1,1,0.03,40,10,17,43,16.0,0.06,N
7,4,30,0.71,57328.2,0.02,3184.9,0,35.15,25,20,1419.56,2,0.08,105,26,27,152,40.38,0.1,Y
2,2,9,0.5,8989.71,0.06,499.43,0,30.43,9,11,523.03,3,0.04,50,16,20,60,17.19,0.07,Y
2,1,7,0.5,8119.88,0.05,451.1,0,22.1,7,10,423.65,1,0.05,46,12,20,49,19.17,0.1,N
2,1,7,0.5,8119.88,0.05,451.1,0,22.1,7,10,423.65,1,0.05,46,12,21,49,19.17,0.1,N
1,1,2,1.0,5453.58,0.06,302.98,0,19.12,3,8,322.91,1,0.03,38,9,15,41,16.89,0.06,N
4,3,18,0.25,11718.04,0.06,651.0,0,41.64,16,11,698.54,4,0.06,61,20,20,80,16.78,0.09,Y
5,3,21,0.6,42651.03,0.03,2369.5,0,27.67,18,17,1086.32,3,0.07,97,21,38,110,39.26,0.11,Y
6,6,24,0.17,30059.84,0.03,1669.99,1,34.2,20,16,1013.92,3,0.1,63,17,35,138,29.65,0.16,Y
11,9,55,0.09,59840.57,0.03,3324.48,4,63.24,46,19,1945.28,9,0.09,136,42,51,192,30.76,0.12,Y
3,2,20,0.33,4795.88,0.09,266.44,0,39.64,19,14,435.99,11,0.06,33,21,18,52,11.0,0.14,Y
8,4,35,0.13,48552.55,0.02,2697.36,1,25.3,29,23,1108.26,6,0.11,80,21,41,123,43.81,0.18,Y
15,5,70,0.2,112076.69,0.02,6226.48,3,59.92,57,24,2591.37,9,0.09,173,48,65,247,43.25,0.14,N
3,2,16,0.33,5430.29,0.08,301.68,0,30.55,15,12,407.27,3,0.08,40,18,17,43,13.33,0.18,N
3,3,17,0.33,8249.42,0.06,458.3,0,30.3,16,12,499.96,4,0.07,44,16,22,60,16.5,0.12,Y
3,2,23,0.33,35176.89,0.04,1954.27,0,43.31,22,18,1234.28,4,0.05,95,30,37,126,28.5,0.08,Y
1,1,1,1.0,0.0,0.0,0.0,0,0.0,2,2,2.0,0,1.0,0,0,0,2,0.0,1.0,N
2,1,6,0.5,285.29,0.17,15.85,1,7.92,6,6,47.55,0,0.25,6,3,5,9,6.0,0.4,N
3,1,10,0.33,806.67,0.11,44.81,0,9.6,9,10,88.0,0,0.33,11,6,5,11,9.17,0.6,N
2,1,6,0.5,1027.99,0.09,57.11,0,8.81,6,9,95.18,0,0.12,12,5,5,13,10.8,0.4,N
1,1,1,1.0,39.3,0.5,2.18,1,9.83,2,4,19.65,0,0.2,3,3,2,4,2.0,0.5,N
1,1,5,1.0,609.18,0.2,33.84,0,24.37,6,7,121.84,4,0.04,10,7,7,22,5.0,0.14,N
9,2,29,0.78,29017.62,0.03,1612.09,0,21.71,22,18,793.64,1,0.16,65,16,33,91,36.56,0.2,Y
2,2,6,0.5,840.0,0.17,46.67,0,23.33,6,8,140.0,2,0.09,12,8,15,23,6.0,0.13,Y
1,1,8,1.0,972.0,0.19,54.0,0,33.33,9,6,180.0,5,0.03,18,10,7,27,5.4,0.1,Y
7,4,28,0.14,18190.55,0.04,1010.59,1,22.53,23,21,640.25,3,0.1,46,17,39,76,28.41,0.17,Y
1,1,3,1.0,46.53,0.5,2.58,0,11.63,4,4,23.26,2,0.08,2,2,4,7,2.0,0.25,N
1,1,5,1.0,90.0,0.5,5.0,0,22.5,6,4,45.0,4,0.05,4,4,5,11,2.0,0.17,Y
2,2,8,0.5,1869.09,0.09,103.84,0,15.45,8,11,169.92,2,0.11,16,8,11,24,11.0,0.18,N
3,3,13,0.33,3922.15,0.06,217.9,0,14.41,12,12,237.71,2,0.12,22,8,16,33,16.5,0.18,N
2,2,9,0.5,3280.34,0.07,182.24,0,16.6,9,11,233.38,2,0.09,23,9,10,31,14.06,0.15,Y
1,1,3,1.0,412.33,0.23,22.91,0,22.45,4,6,96.21,2,0.05,10,7,10,16,4.29,0.1,N
1,1,3,1.0,412.33,0.23,22.91,0,22.45,4,6,96.21,2,0.05,10,7,10,16,4.29,0.1,N
1,1,10,1.0,873.48,0.23,48.53,0,45.63,11,7,199.65,9,0.03,15,12,10,32,4.38,0.08,Y
2,2,13,0.5,3934.63,0.1,218.59,0,41.39,13,11,403.55,6,0.05,39,22,19,41,9.75,0.11,N
4,4,49,0.25,101649.86,0.02,5647.21,0,63.53,47,17,2541.25,6,0.04,160,34,53,288,40.0,0.07,N
1,1,2,1.0,746.67,0.15,41.48,0,16.8,3,10,112.0,1,0.06,8,6,8,20,6.67,0.11,N
4,4,42,0.25,48777.92,0.04,2709.88,0,90.42,40,10,2100.16,1,0.04,144,31,31,248,23.23,0.1,Y
2,2,49,0.5,252543.19,0.01,14030.18,0,29.78,49,10,2742.55,1,0.04,221,12,49,394,92.08,0.04,N
2,2,7,0.5,12409.79,0.09,689.43,0,102.56,7,11,1128.16,1,0.06,74,37,7,128,11.0,0.09,Y
2,2,32,0.5,41036.32,0.04,2279.8,0,73.68,32,10,1738.83,1,0.02,118,25,33,221,23.6,0.06,Y
3,1,13,0.33,13416.53,0.05,745.36,0,28.18,12,10,614.92,0,0.08,48,11,23,92,21.82,0.13,N
2,2,11,0.5,2314.44,0.12,128.58,0,34.0,11,11,280.54,4,0.07,24,16,14,35,8.25,0.11,N
3,3,21,0.33,30652.35,0.03,1702.91,0,20.79,20,12,798.24,1,0.1,64,10,22,115,38.4,0.14,N
3,3,31,0.33,49286.33,0.03,2738.13,0,51.95,30,11,1600.21,1,0.03,112,20,30,211,30.8,0.09,Y
3,1,12,0.33,10275.27,0.05,570.85,0,27.73,11,11,533.78,0,0.12,42,12,8,76,19.25,0.18,Y
1,1,1,1.0,752.84,0.14,41.82,2,15.36,2,7,107.55,0,0.06,10,5,6,20,7.0,0.17,N
2,1,7,0.5,5466.9,0.06,303.72,2,18.81,7,11,320.64,0,0.06,31,10,14,42,17.05,0.14,N
3,1,11,0.33,92777.91,0.01,5154.33,5,17.32,10,14,1267.77,0,0.05,115,11,32,158,73.18,0.09,Y
2,2,7,0.5,2250.27,0.1,125.01,2,20.95,7,12,217.13,1,0.1,19,11,12,29,10.36,0.15,N
3,3,11,0.33,950.74,0.17,52.82,0,26.41,10,9,158.46,3,0.13,12,9,13,26,6.0,0.2,N
3,3,17,0.33,4580.38,0.11,254.47,3,50.5,16,8,480.94,5,0.06,50,21,21,49,9.52,0.12,N
2,2,10,0.5,1801.85,0.16,100.1,1,45.17,10,8,285.29,5,0.06,30,19,17,30,6.32,0.12,N
5,5,28,0.2,7874.42,0.08,437.47,0,56.41,25,11,666.49,9,0.07,58,27,30,69,11.81,0.15,Y
2,1,6,0.5,2477.96,0.09,137.66,0,18.21,6,10,212.4,1,0.15,21,9,9,29,11.67,0.22,N
2,1,6,0.5,2559.26,0.08,142.18,0,15.95,6,12,202.05,0,0.13,19,9,10,27,12.67,0.2,N
1,1,3,1.0,560.0,0.21,31.11,0,25.71,4,7,120.0,2,0.05,12,9,6,18,4.67,0.17,N
7,4,23,0.14,4779.6,0.1,265.53,0,48.64,18,12,482.15,4,0.18,38,23,21,56,9.91,0.32,Y
3,2,12,0.33,4579.55,0.07,254.42,1,22.16,11,15,318.58,2,0.1,23,12,5,44,14.38,0.13,N
3,2,11,0.33,3589.5,0.06,199.42,1,13.59,10,13,220.89,1,0.17,15,6,5,37,16.25,0.3,N
1,1,1,1.0,23.22,0.5,1.29,1,5.8,2,4,11.61,0,0.2,1,1,2,4,2.0,0.5,N
2,1,6,0.5,1661.41,0.13,92.3,4,26.79,6,7,210.97,0,0.06,18,8,6,36,7.88,0.17,N
3,1,10,0.33,4111.99,0.07,228.44,3,17.97,9,11,271.87,0,0.06,22,8,9,42,15.13,0.2,N
1,1,3,1.0,502.57,0.17,27.92,1,13.96,4,8,83.76,2,0.11,9,6,2,13,6.0,0.2,N
1,1,3,1.0,663.06,0.16,36.84,1,16.78,4,8,105.49,2,0.1,11,7,2,16,6.29,0.17,N
1,1,1,1.0,31.02,0.5,1.72,1,7.75,2,4,15.51,0,0.2,2,2,1,4,2.0,0.5,N
1,1,3,1.0,2237.41,0.1,124.3,1,22.75,4,14,225.62,2,0.03,17,12,8,31,9.92,0.1,N
19,6,68,0.58,56916.12,0.02,3162.01,3,29.61,51,24,1298.09,3,0.48,95,26,36,135,43.85,0.53,N
7,6,24,0.86,9086.14,0.06,504.79,3,29.56,19,11,518.28,1,0.37,51,16,17,58,17.53,0.41,N
9,1,29,1.0,12630.47,0.04,701.69,3,19.68,22,19,498.57,0,0.43,40,15,19,58,25.33,0.47,N
1,1,1,1.0,23.22,0.5,1.29,0,5.8,2,4,11.61,0,1.0,1,1,0,4,2.0,1.0,N
1,1,1,1.0,23.22,0.5,1.29,0,5.8,2,4,11.61,0,1.0,1,1,0,4,2.0,1.0,N
8,2,32,0.5,9084.42,0.04,504.69,1,16.63,26,17,388.64,1,0.3,33,12,20,47,23.38,0.38,N
4,1,16,0.25,4061.3,0.05,225.63,3,8.7,14,12,188.02,0,0.33,18,5,10,28,21.6,0.4,N
1,1,4,1.0,27.14,0.67,1.51,1,12.06,5,3,18.09,1,0.06,3,3,2,4,1.5,0.33,N
1,1,4,1.0,27.14,0.67,1.51,1,12.06,5,3,18.09,1,0.06,3,3,2,4,1.5,0.33,N
1,1,2,1.0,12.0,0.67,0.67,0,5.33,3,3,8.0,1,0.2,1,1,1,3,1.5,0.5,N
1,1,2,1.0,12.0,0.67,0.67,0,5.33,3,3,8.0,1,0.2,1,1,1,3,1.5,0.5,N
1,1,9,1.0,1030.06,0.23,57.23,1,52.7,10,8,232.99,8,0.02,21,19,5,28,4.42,0.07,N
1,1,9,1.0,1030.06,0.23,57.23,1,52.7,10,8,232.99,8,0.02,21,19,5,28,4.42,0.07,N
1,1,11,1.0,1200.82,0.31,66.71,2,118.03,12,5,376.47,8,0.01,37,29,11,37,3.19,0.05,N
1,1,11,1.0,1200.82,0.31,66.71,2,118.03,12,5,376.47,8,0.01,37,29,11,37,3.19,0.05,N
2,2,8,0.5,3171.79,0.08,176.21,0,17.84,8,10,237.88,2,0.11,24,9,14,32,13.33,0.14,N
2,1,6,0.5,867.02,0.11,48.17,1,10.7,6,6,96.34,0,0.14,12,4,11,17,9.0,0.17,N
1,1,5,1.0,81.0,0.56,4.5,0,25.0,6,3,45.0,3,0.13,6,5,5,9,1.8,0.2,N
2,2,8,0.5,896.0,0.14,49.78,1,18.29,8,8,128.0,1,0.15,14,8,11,18,7.0,0.18,N
1,1,6,1.0,972.99,0.18,54.06,1,31.52,7,5,175.14,1,0.11,20,9,8,26,5.56,0.13,N
2,2,7,0.5,1482.91,0.14,82.38,1,28.04,7,8,203.9,1,0.17,20,11,10,28,7.27,0.2,N
7,3,28,0.86,5319.03,0.06,295.5,0,17.27,23,13,303.08,2,0.3,27,10,20,40,17.55,0.35,N
3,1,11,0.33,3563.68,0.08,197.98,2,21.09,10,7,274.13,1,0.11,26,7,17,46,13.0,0.15,N
2,1,6,0.5,435.89,0.14,24.22,2,8.9,6,7,62.27,0,0.22,8,4,7,10,7.0,0.29,N
5,4,19,0.6,10491.03,0.04,582.83,2,19.11,16,19,447.7,2,0.14,37,15,23,51,23.43,0.22,N
8,1,30,0.63,14780.96,0.05,821.16,0,42.42,24,16,791.84,0,0.12,49,21,36,103,18.67,0.21,N
3,1,10,0.33,1104.67,0.1,61.37,1,11.62,9,9,113.3,1,0.33,13,6,7,16,9.75,0.43,N
6,6,23,0.17,26810.35,0.03,1489.46,2,31.98,19,19,926.02,5,0.05,64,21,38,110,28.95,0.14,N
17,11,49,1.0,24540.17,0.03,1363.34,2,29.38,34,17,849.14,1,0.14,68,20,46,95,28.9,0.31,N
5,5,23,0.2,17036.72,0.05,946.48,2,39.89,20,12,824.36,4,0.06,62,18,32,106,20.67,0.14,N
2,2,7,0.5,3525.33,0.07,195.85,2,18.96,7,15,258.51,2,0.03,20,11,16,35,13.64,0.11,N
9,6,31,0.56,17758.95,0.04,986.61,2,27.83,24,20,702.96,4,0.1,48,19,35,85,25.26,0.23,N
3,3,12,0.33,2784.46,0.1,154.69,2,30.21,11,12,290.05,3,0.08,24,15,18,37,9.6,0.16,N
2,1,8,0.5,12280.56,0.04,682.25,0,22.99,8,8,531.37,1,0.04,52,9,19,78,23.11,0.1,N
1,1,2,1.0,12305.75,0.05,683.65,0,25.43,3,13,559.35,1,0.01,44,13,19,75,22.0,0.05,N
3,2,13,0.33,6951.19,0.07,386.18,3,31.26,12,13,466.15,3,0.05,39,17,15,56,14.91,0.17,N
4,2,12,0.75,11839.59,0.05,657.76,2,26.4,10,18,559.09,1,0.06,40,17,19,69,21.18,0.17,N
1,1,1,1.0,0.0,0.0,0.0,0,0.0,2,2,2.0,0,1.0,0,0,0,2,0.0,1.0,N
5,5,22,0.2,13912.18,0.05,772.9,3,30.1,19,21,647.08,5,0.06,43,21,27,77,21.5,0.14,N
5,4,19,0.8,9755.09,0.05,541.95,3,25.65,16,20,500.26,3,0.08,39,20,17,55,19.5,0.23,N
3,2,12,1.0,6558.06,0.06,364.34,3,24.09,11,15,397.46,4,0.06,33,15,13,48,16.5,0.18,N
1,1,1,1.0,0.0,0.0,0.0,0,0.0,2,2,2.0,0,1.0,0,0,0,2,0.0,1.0,N
2,2,14,0.5,15085.27,0.06,838.07,0,47.21,14,13,843.93,8,0.02,66,24,23,96,17.87,0.06,N
10,8,33,0.5,18111.12,0.05,1006.17,0,43.97,25,23,892.43,9,0.1,60,34,32,93,20.29,0.23,N
11,5,49,0.64,34007.12,0.03,1889.28,3,37.79,40,16,1133.57,7,0.1,90,24,42,123,30.0,0.22,N
4,3,13,0.25,8976.0,0.05,498.67,1,21.57,11,17,440.0,2,0.13,36,15,20,52,20.4,0.17,N
4,4,14,0.25,1929.74,0.11,107.21,2,21.38,12,10,203.13,4,0.1,19,10,14,28,9.5,0.27,N
12,3,41,0.92,21440.49,0.04,1191.14,2,38.24,31,16,905.43,2,0.12,74,25,64,95,23.68,0.18,N
23,7,62,0.83,63133.21,0.03,3507.4,2,54.16,41,19,1849.21,6,0.18,115,32,54,211,34.14,0.37,N
3,1,9,0.33,1962.54,0.09,109.03,2,16.21,8,11,178.41,0,0.04,16,8,6,26,11.0,0.25,N
3,2,9,1.0,2632.25,0.09,146.24,3,19.34,8,14,225.62,2,0.18,20,12,11,28,11.67,0.27,N
1,1,2,1.0,36.19,0.5,2.0,2,9.05,3,4,18.09,1,0.03,2,2,3,5,2.0,0.33,N
2,1,6,0.5,1750.38,0.09,97.24,2,13.83,6,12,155.59,1,0.2,15,8,6,21,11.25,0.33,N
1,1,2,1.0,134.92,0.33,7.5,2,14.99,3,6,44.97,1,0.2,5,5,2,8,3.0,0.5,N
1,1,2,1.0,207.22,0.29,11.51,2,16.92,3,7,59.21,1,0.2,6,6,2,10,3.5,0.5,N
1,1,3,1.0,139.48,0.25,7.75,1,8.72,4,6,34.87,1,0.01,4,3,6,7,4.0,0.17,N
15,5,63,0.6,35331.2,0.03,1962.84,0,32.32,50,25,1068.55,3,0.27,82,31,25,102,33.06,0.47,N
2,1,5,0.5,603.09,0.14,33.5,0,11.63,5,9,83.76,0,0.2,8,5,7,14,7.2,0.29,N
9,8,43,0.11,16663.77,0.05,925.76,0,44.48,36,16,860.96,9,0.26,75,31,33,80,19.35,0.27,N
5,4,21,0.2,3894.84,0.09,216.38,0,30.32,18,14,343.66,3,0.29,34,21,15,33,11.33,0.33,N
3,2,9,0.33,2213.52,0.07,122.97,1,11.16,8,13,157.17,1,0.27,13,6,8,24,14.08,0.38,N
10,1,40,0.8,66226.0,0.02,3679.22,3,29.53,32,26,1398.44,0,0.2,102,28,31,141,47.36,0.21,N
3,1,10,0.33,1642.56,0.09,91.25,2,14.0,9,13,151.62,0,0.23,15,9,10,19,10.83,0.27,N
7,4,27,0.86,14618.65,0.04,812.15,2,19.19,22,18,529.66,2,0.23,46,15,27,59,27.6,0.26,N
7,7,29,0.57,11216.64,0.04,623.15,2,14.49,24,18,403.21,3,0.44,34,11,12,49,27.82,0.58,N
