HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUMBER_OF_LINES,NUM_OPERANDS,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NUM_UNIQUE_OPERANDS,HALSTEAD_CONTENT,EDGE_COUNT,CONDITION_COUNT,NODE_COUNT,LOC_BLANK,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,PERCENT_COMMENTS,Defective
2764.2,153.57,261.33,57,32,23,25,0,19,19,13,24.71,8,4,8,3,3,2,2,0.0,N
472.87,26.27,87.57,23,17,24,6,6,10,11,5,16.21,6,4,6,6,3,2,2,41.18,N
1717.22,95.4,178.41,42,28,19,14,0,15,15,8,18.54,6,4,6,3,3,2,2,0.0,N
123914.45,6884.14,2603.24,402,248,186,154,62,89,93,55,54.69,55,16,33,30,32,8,4,42.58,Y
1809.36,100.52,171.3,39,26,36,13,15,10,14,8,16.21,8,4,8,6,3,2,2,65.51,N
12037.08,668.73,648.26,121,78,73,43,24,32,35,22,34.91,16,12,14,13,7,6,6,45.76,Y
83581.43,4643.41,2274.9,354,230,141,124,28,74,81,54,61.92,46,34,37,31,21,17,14,32.11,Y
16764.79,931.38,886.6,152,100,74,52,16,44,45,33,46.89,30,20,26,12,11,10,10,27.87,N
2026.77,112.6,294.8,62,42,16,20,0,15,15,16,42.88,6,4,6,0,3,2,2,0.0,N
218524.86,12140.27,3366.16,516,323,241,193,73,107,116,55,51.85,75,62,59,51,35,31,28,43.39,Y
129.72,7.21,51.89,15,9,17,6,0,12,14,6,20.76,6,4,6,2,3,2,2,14.29,N
264.4,14.69,95.18,25,15,26,10,0,17,21,9,34.27,10,8,9,4,5,4,4,19.05,N
1086.54,60.36,107.31,29,20,18,9,0,17,17,4,10.6,14,12,12,0,7,6,6,0.0,N
7065.15,392.51,229.39,54,32,19,22,0,15,15,5,7.45,18,16,14,3,11,8,6,0.0,N
959.45,53.3,106.61,28,18,18,10,0,14,14,5,11.85,5,4,5,3,3,2,2,0.0,N
442.81,24.6,55.35,16,10,13,6,0,10,10,3,6.92,5,4,5,2,3,2,2,0.0,N
57176.91,3176.49,2149.51,343,210,117,133,15,70,76,55,80.81,59,42,48,25,25,23,18,23.08,N
6737.71,374.32,421.11,85,55,35,30,2,24,27,15,26.32,17,12,15,5,7,6,6,17.24,N
9514.39,528.58,525.14,106,62,44,44,9,12,19,17,28.99,10,8,9,15,5,4,4,57.14,N
2508.88,139.38,185.84,43,25,20,18,2,9,11,8,13.77,5,4,5,6,3,2,2,30.77,N
3972.03,220.67,232.79,53,32,19,21,2,9,11,8,13.64,5,4,5,5,3,2,2,30.77,N
5681.26,315.63,347.83,74,46,36,28,2,8,23,12,21.3,23,22,18,10,13,11,10,68.0,N
3640.0,202.22,360.0,72,46,44,26,9,19,20,18,35.6,13,8,12,14,5,4,4,34.48,N
124313.16,6906.29,3670.05,526,327,157,199,17,76,104,94,108.35,68,52,54,35,31,26,22,37.19,N
2014.61,111.92,188.87,43,27,24,16,2,8,15,9,17.71,11,8,10,6,5,4,4,52.94,N
18381.79,1021.21,888.01,159,114,72,45,19,27,35,25,42.9,23,16,20,17,9,8,8,50.0,N
34384.39,1910.24,1138.69,205,116,54,89,7,20,30,28,37.71,11,8,10,16,5,4,4,45.95,N
54539.1,3029.95,1627.38,279,155,58,124,5,27,41,37,48.56,26,20,22,11,11,10,10,41.3,N
2109679.46,117204.41,16670.05,2027,1229,750,798,165,423,503,227,131.72,345,248,251,81,162,124,118,36.68,N
622.17,34.57,109.39,28,15,35,13,2,10,12,8,19.23,12,12,10,20,7,6,6,28.57,N
80843.05,4491.28,2602.9,399,223,212,176,12,49,84,68,83.81,67,60,53,115,31,30,30,48.96,N
207526.23,11529.23,4031.99,589,322,330,267,27,85,138,83,78.34,129,116,99,156,63,58,54,48.48,N
355647.88,19758.22,8523.85,1112,649,307,463,32,165,226,172,204.29,161,106,134,48,57,53,50,36.05,N
26010.73,1445.04,1512.25,253,167,93,86,8,61,67,45,87.92,44,38,35,17,21,19,18,18.67,N
125251.55,6958.42,3276.5,487,284,186,203,18,63,93,77,85.71,64,42,54,74,23,21,20,43.24,N
6475.08,359.73,427.18,82,50,62,32,4,16,24,19,28.18,14,8,13,33,5,4,4,42.86,N
13377.17,743.18,731.56,134,70,27,64,0,19,22,28,40.01,25,12,23,4,7,6,6,13.64,N
23858.84,1325.49,1005.29,182,93,33,89,0,25,28,30,42.36,38,20,34,4,11,10,10,10.71,N
11259.34,625.52,1114.08,191,96,38,95,0,35,36,47,110.24,32,16,29,1,9,8,8,2.78,N
11135.5,618.64,552.36,100,52,33,48,0,25,27,25,27.4,24,16,21,5,9,8,8,7.41,N
14437.64,802.09,1061.18,189,95,34,94,0,30,31,38,78.0,41,16,38,2,9,8,8,3.23,N
4686.53,260.36,505.41,103,52,20,51,0,17,18,22,54.5,16,4,16,1,3,2,2,5.56,N
3491.27,193.96,267.19,55,27,18,28,0,15,16,15,20.45,20,12,18,1,7,6,6,6.25,N
16649.11,924.95,773.25,132,79,52,53,0,49,50,32,35.91,36,8,25,1,16,4,4,2.0,N
19394.56,1077.48,842.16,142,84,55,58,0,52,53,34,36.57,39,12,27,1,18,6,6,1.89,N
16586.02,921.45,1633.09,263,133,48,130,0,42,43,64,160.8,47,24,42,4,13,12,12,2.33,N
29993.03,1666.28,1595.93,265,174,92,91,8,62,67,46,84.92,48,42,37,16,25,23,18,17.33,N
145477.36,8082.08,3492.33,514,299,155,215,19,65,95,80,83.84,69,46,58,40,25,23,22,42.98,N
114516.56,6362.03,3177.29,465,272,201,193,15,75,100,83,88.15,87,62,72,77,33,31,30,34.78,N
3685.04,204.72,294.8,62,42,19,20,0,10,14,12,23.58,6,4,6,4,3,2,2,28.57,N
707.7,39.32,112.59,27,19,19,8,6,6,8,7,17.91,5,4,5,4,3,2,2,57.14,N
707.7,39.32,112.59,27,19,19,8,6,6,8,7,17.91,5,4,5,4,3,2,2,57.14,N
1950.69,108.37,183.4,40,22,30,18,7,15,15,11,17.24,7,4,7,7,3,2,2,31.82,N
1713.0,95.17,171.3,39,24,20,15,5,9,11,9,17.13,7,4,7,3,3,2,2,43.75,N
21802.25,1211.24,835.34,142,88,103,54,33,38,42,30,32.0,25,6,17,27,13,3,2,49.33,N
4880.94,271.16,277.33,59,37,25,22,2,14,16,10,15.76,18,16,14,6,11,8,6,22.22,N
24047.21,1335.96,863.23,150,90,89,60,14,47,54,28,30.99,44,22,33,20,21,11,10,30.88,N
765.94,42.55,125.34,29,19,17,10,1,11,11,9,20.51,5,4,5,4,3,2,2,8.33,N
739.53,41.08,121.01,28,18,19,10,2,11,11,9,19.8,5,4,5,5,3,2,2,15.38,N
1373.5,76.31,142.7,32,21,18,11,2,11,12,8,14.83,6,4,6,3,3,2,2,21.43,N
5170.32,287.24,492.41,96,68,39,28,7,21,24,20,46.9,14,12,12,7,7,6,6,32.25,N
4237.49,235.42,439.44,85,58,56,27,22,19,21,21,45.57,12,8,11,12,5,4,4,55.81,Y
5170.32,287.24,492.41,96,68,37,28,5,23,24,20,46.9,14,12,12,7,7,6,6,20.69,N
2815.15,156.4,297.25,60,37,70,23,34,18,21,17,31.39,11,8,10,14,5,4,4,67.27,Y
4871.43,270.63,439.53,81,53,47,28,11,22,25,24,39.66,10,8,9,10,5,4,4,38.89,Y
3474.19,193.01,330.88,64,43,50,21,19,20,22,18,31.51,10,8,9,8,5,4,4,51.22,Y
1204.38,66.91,164.23,38,26,16,12,0,13,15,9,22.4,12,8,11,0,5,4,4,13.33,Y
1746.71,97.04,240.44,49,30,14,19,0,13,13,17,33.1,10,8,9,0,5,4,4,0.0,N
4129.37,229.41,377.85,72,45,22,27,0,21,21,21,34.57,12,8,11,0,5,4,4,0.0,N
12685.78,704.77,971.26,159,95,88,64,31,44,46,49,74.36,32,26,26,10,15,13,12,42.86,Y
89412.4,4967.36,4176.06,591,373,118,218,18,91,95,112,195.05,80,64,64,4,35,32,30,19.47,Y
3969.82,220.55,380.55,72,45,22,27,0,21,21,22,36.48,12,8,11,0,5,4,4,0.0,N
6780.12,376.67,531.77,98,59,23,39,0,22,22,26,41.71,15,10,13,0,7,5,4,0.0,N
16481.41,915.63,1113.43,187,120,54,67,9,41,42,43,75.22,24,24,18,2,15,12,10,19.61,N
43785.9,2432.55,1563.78,256,144,65,112,13,47,49,46,55.85,14,8,13,2,5,4,4,24.19,Y
4591.91,255.11,310.91,64,40,28,24,0,22,22,13,21.05,12,10,10,5,7,5,4,0.0,N
11241.58,624.53,587.63,107,67,37,40,7,24,25,23,30.72,14,10,12,4,7,5,4,25.0,Y
141084.24,7838.01,3155.83,475,285,186,190,59,82,91,68,70.59,64,36,55,35,21,18,16,45.33,Y
977.69,54.32,150.41,32,19,28,13,12,10,11,13,23.14,7,4,7,4,3,2,2,56.52,Y
8407.11,467.06,528.45,98,63,38,35,7,28,30,22,33.22,20,18,16,0,11,9,8,24.32,Y
8684.58,482.48,403.21,83,48,49,35,1,28,33,13,18.72,21,16,18,14,9,8,8,17.65,N
474.58,26.37,70.31,19,13,16,6,0,10,10,4,10.42,7,4,7,5,3,2,2,0.0,N
8218.63,456.59,733.36,136,86,63,50,0,50,50,29,65.44,47,36,39,12,19,18,18,0.0,N
13084.38,726.91,640.3,118,71,39,47,0,29,30,23,31.33,40,32,32,8,19,16,14,3.33,N
7697.18,427.62,757.88,138,88,63,50,0,50,50,32,74.62,47,36,39,12,19,18,18,0.0,N
2931.85,162.88,405.0,81,44,32,37,0,22,24,23,55.95,10,8,9,7,5,4,4,8.33,N
3845.69,213.65,318.58,67,41,29,26,3,18,20,14,26.39,21,18,17,5,11,9,8,21.74,N
2191.93,121.77,182.66,43,29,16,14,0,12,12,7,15.22,10,8,9,3,5,4,4,0.0,N
54431.16,3023.95,1514.78,241,143,68,98,8,41,42,45,42.16,43,36,34,17,21,18,16,18.0,N
94278.09,5237.67,3002.24,449,263,81,186,5,59,59,77,95.6,31,24,26,16,13,12,12,7.81,N
22884.16,1271.34,1234.54,209,129,58,80,4,42,42,41,66.6,24,16,21,11,9,8,8,8.7,N
181.62,10.09,51.89,15,11,11,4,0,9,9,4,14.83,5,4,5,1,3,2,2,0.0,N
38771.24,2153.96,1069.55,185,120,67,65,16,39,40,26,29.5,29,24,24,10,13,12,12,30.36,N
