LOC_EXECUTABLE,NUMBER_OF_LINES,NUM_OPERATORS,LOC_TOTAL,NUM_UNIQUE_OPERANDS,HALSTEAD_LENGTH,HALSTEAD_ERROR_EST,NUM_UNIQUE_OPERATORS,NUM_OPERANDS,HALSTEAD_VOLUME,LOC_COMMENTS,HALSTEAD_CONTENT,MODIFIED_CONDITION_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,EDGE_COUNT,NODE_COUNT,BRANCH_COUNT,LOC_BLANK,Defective
85,330,322,138,83,589,1.3,32,267,4032,27,78.3,31,116,58,54,129,99,63,156,N
165,307,649,226,172,1112,2.8,31,463,8523.9,32,204.3,28,106,53,50,161,134,57,48,N
61,93,167,67,45,253,0.5,18,86,1512.3,8,87.9,10,38,19,18,44,35,21,17,N
63,186,284,93,77,487,1.1,29,203,3276.5,18,85.7,11,42,21,20,64,54,23,74,N
16,62,50,24,19,82,0.1,18,32,427.2,4,28.2,2,8,4,4,14,13,5,33,N
19,27,70,22,28,134,0.2,16,64,731.6,0,40,3,12,6,6,25,23,7,4,N
25,33,93,28,30,182,0.3,16,89,1005.3,0,42.4,5,20,10,10,38,34,11,4,N
35,38,96,36,47,191,0.4,10,95,1114.1,0,110.2,4,16,8,8,32,29,9,1,N
25,33,52,27,25,100,0.2,21,48,552.4,0,27.4,4,16,8,8,24,21,9,5,N
30,34,95,31,38,189,0.4,11,94,1061.2,0,78,4,16,8,8,41,38,9,2,N
17,20,52,18,22,103,0.2,8,51,505.4,0,54.5,1,4,2,2,16,16,3,1,N
15,18,27,16,15,55,0.1,14,28,267.2,0,20.5,3,12,6,6,20,18,7,1,N
49,52,79,50,32,132,0.3,26,53,773.3,0,35.9,2,8,4,4,36,25,16,1,N
52,55,84,53,34,142,0.3,27,58,842.2,0,36.6,3,12,6,6,39,27,18,1,N
42,48,133,43,64,263,0.5,10,130,1633.1,0,160.8,6,24,12,12,47,42,13,4,N
62,92,174,67,46,265,0.5,19,91,1595.9,8,84.9,12,42,23,18,48,37,25,16,N
65,155,299,95,80,514,1.2,31,215,3492.3,19,83.8,12,46,23,22,69,58,25,40,N
75,201,272,100,83,465,1.1,31,193,3177.3,15,88.2,16,62,31,30,87,72,33,77,N
10,19,42,14,12,62,0.1,15,20,294.8,0,23.6,1,4,2,2,6,6,3,4,N
6,19,19,8,7,27,0,11,8,112.6,6,17.9,1,4,2,2,5,5,3,4,N
6,19,19,8,7,27,0,11,8,112.6,6,17.9,1,4,2,2,5,5,3,4,N
15,30,22,15,11,40,0.1,13,18,183.4,7,17.2,1,4,2,2,7,7,3,7,N
9,20,24,11,9,39,0.1,12,15,171.3,5,17.1,1,4,2,2,7,7,3,3,N
38,103,88,42,30,142,0.3,29,54,835.3,33,32,2,6,3,2,25,17,13,27,N
14,25,37,16,10,59,0.1,16,22,277.3,2,15.8,5,16,8,6,18,14,11,6,N
47,89,90,54,28,150,0.3,26,60,863.2,14,31,6,22,11,10,44,33,21,20,N
11,17,19,11,9,29,0,11,10,125.3,1,20.5,1,4,2,2,5,5,3,4,N
11,19,18,11,9,28,0,11,10,121,2,19.8,1,4,2,2,5,5,3,5,N
11,18,21,12,8,32,0.1,14,11,142.7,2,14.8,1,4,2,2,6,6,3,3,N
21,39,68,24,20,96,0.2,15,28,492.4,7,46.9,3,12,6,6,14,12,7,7,N
19,56,58,21,21,85,0.2,15,27,439.4,22,45.6,2,8,4,4,12,11,5,12,Y
23,37,68,24,20,96,0.2,15,28,492.4,5,46.9,3,12,6,6,14,12,7,7,N
18,70,37,21,17,60,0.1,14,23,297.3,34,31.4,2,8,4,4,11,10,5,14,Y
22,47,53,25,24,81,0.2,19,28,439.5,11,39.7,2,8,4,4,10,9,5,10,Y
20,50,43,22,18,64,0.1,18,21,330.9,19,31.5,2,8,4,4,10,9,5,8,Y
13,16,26,15,9,38,0.1,11,12,164.2,0,22.4,2,8,4,4,12,11,5,0,Y
13,14,30,13,17,49,0.1,13,19,240.4,0,33.1,2,8,4,4,10,9,5,0,N
21,22,45,21,21,72,0.1,17,27,377.9,0,34.6,2,8,4,4,12,11,5,0,N
44,88,95,46,49,159,0.3,20,64,971.3,31,74.4,7,26,13,12,32,26,15,10,Y
91,118,373,95,112,591,1.4,22,218,4176.1,18,195.1,17,64,32,30,80,64,35,4,Y
21,22,45,21,22,72,0.1,17,27,380.6,0,36.5,2,8,4,4,12,11,5,0,N
22,23,59,22,26,98,0.2,17,39,531.8,0,41.7,3,10,5,4,15,13,7,0,N
41,54,120,42,43,187,0.4,19,67,1113.4,9,75.2,7,24,12,10,24,18,15,2,N
47,65,144,49,46,256,0.5,23,112,1563.8,13,55.9,2,8,4,4,14,13,5,2,Y
22,28,40,22,13,64,0.1,16,24,310.9,0,21.1,3,10,5,4,12,10,7,5,N
24,37,67,25,23,107,0.2,22,40,587.6,7,30.7,3,10,5,4,14,12,7,4,Y
82,186,285,91,68,475,1.1,32,190,3155.8,59,70.6,10,36,18,16,64,55,21,35,Y
10,28,19,11,13,32,0.1,13,13,150.4,12,23.1,1,4,2,2,7,7,3,4,Y
28,38,63,30,22,98,0.2,20,35,528.5,7,33.2,5,18,9,8,20,16,11,0,Y
28,49,48,33,13,83,0.1,16,35,403.2,1,18.7,4,16,8,8,21,18,9,14,N
10,16,13,10,4,19,0,9,6,70.3,0,10.4,1,4,2,2,7,7,3,5,N
50,63,86,50,29,136,0.2,13,50,733.4,0,65.4,9,36,18,18,47,39,19,12,N
29,39,71,30,23,118,0.2,20,47,640.3,0,31.3,9,32,16,14,40,32,19,8,N
50,63,88,50,32,138,0.3,13,50,757.9,0,74.6,9,36,18,18,47,39,19,12,N
22,32,44,24,23,81,0.1,9,37,405,0,56,2,8,4,4,10,9,5,7,N
18,29,41,20,14,67,0.1,13,26,318.6,3,26.4,5,18,9,8,21,17,11,5,N
12,16,29,12,7,43,0.1,12,14,182.7,0,15.2,2,8,4,4,10,9,5,3,N
41,68,143,42,45,241,0.5,33,98,1514.8,8,42.2,10,36,18,16,43,34,21,17,N
59,81,263,59,77,449,1,26,186,3002.2,5,95.6,6,24,12,12,31,26,13,16,N
42,58,129,42,41,209,0.4,19,80,1234.5,4,66.6,4,16,8,8,24,21,9,11,N
9,11,11,9,4,15,0,7,4,51.9,0,14.8,1,4,2,2,5,5,3,1,N
39,67,120,40,26,185,0.4,29,65,1069.6,16,29.5,6,24,12,12,29,24,13,10,N
