CALL_PAIRS,NODE_COUNT,LOC_BLANK,NUM_UNIQUE_OPERANDS,NUMBER_OF_LINES,LOC_COMMENTS,NUM_OPERANDS,HALSTEAD_CONTENT,DESIGN_COMPLEXITY,HALSTEAD_DIFFICULTY,MULTIPLE_CONDITION_COUNT,PERCENT_COMMENTS,DECISION_COUNT,HALSTEAD_LENGTH,EDGE_COUNT,HALSTEAD_PROG_TIME,LOC_EXECUTABLE,HALSTEAD_VOLUME,HALSTEAD_EFFORT,LOC_TOTAL,Defective
0,10,5,13,27,7,20,20.3,1,10.8,5,33.3,4,46,12,130.9,14,218.7,2355.5,14,N
2,8,3,9,22,9,16,13.6,2,10.7,2,50,2,33,8,85.9,9,145,1546.1,9,N
1,7,2,5,10,2,7,10.2,2,4.9,2,28.6,2,14,7,13.7,5,50.2,245.9,5,N
3,16,3,21,28,3,54,28.1,2,21.9,2,12.5,2,117,20,745.6,21,614,13420.5,21,N
14,48,10,50,68,5,91,138.6,7,8.2,10,8.8,10,193,53,516.6,52,1135.4,9298.5,52,N
6,15,4,25,34,2,34,35.5,4,12.2,2,6.9,2,80,17,295.2,27,434.1,5313.4,27,N
4,24,7,38,53,8,87,40.8,5,26.3,10,17.8,10,181,28,1570.2,37,1073.5,28263.2,37,N
2,17,1,17,18,0,28,40.2,6,6.6,10,0,10,57,21,96.9,16,264.7,1743.9,16,N
0,15,0,20,16,1,35,44.3,1,8.8,18,6.7,2,79,24,188.4,14,387.6,3391.9,14,N
0,6,3,7,15,3,13,14.1,1,9.3,2,27.3,2,32,6,67.5,8,130.8,1214.6,8,N
0,6,3,6,17,4,10,13,1,7.5,2,30.8,2,25,6,40.7,9,97.7,732.5,9,N
4,11,3,11,16,1,26,30.6,2,7.1,2,8.3,2,53,11,85.3,11,216.6,1536.1,11,N
